stop_id_a,nom_a,stop_id_b,nom_b,distance_metres,nb_observations
IDFM:22185,Invalides,IDFM:463320,Varenne,413,2165
IDFM:22186,Balard,IDFM:22187,Lourmel,359,736
IDFM:22187,Lourmel,IDFM:22188,Boucicaut,497,746
IDFM:22188,Boucicaut,IDFM:22189,Félix Faure,333,746
IDFM:22189,Félix Faure,IDFM:463162,Commerce,274,746
IDFM:22190,Commerce,IDFM:463163,Félix Faure,274,706
IDFM:22191,École Militaire,IDFM:463201,La Motte-Picquet - Grenelle,841,706
IDFM:22192,La Tour-Maubourg,IDFM:463199,Invalides,578,748
IDFM:22193,Invalides,IDFM:463204,La Tour-Maubourg,597,706
IDFM:22194,Madeleine,IDFM:22195,Opéra,467,1338
IDFM:22195,Opéra,IDFM:463037,Richelieu - Drouot,468,1338
IDFM:22196,Richelieu - Drouot,IDFM:463244,Opéra,469,1298
IDFM:22197,Grands Boulevards,IDFM:463115,Bonne Nouvelle,450,1338
IDFM:22198,Bonne Nouvelle,IDFM:463058,Grands Boulevards,509,1298
IDFM:22199,République,IDFM:463312,Strasbourg - Saint-Denis,699,1298
IDFM:22200,Filles du Calvaire,IDFM:22199,République,597,1298
IDFM:22201,Saint-Sébastien - Froissart,IDFM:22200,Filles du Calvaire,217,1298
IDFM:22202,Chemin Vert,IDFM:22201,Saint-Sébastien - Froissart,421,1298
IDFM:22203,Ledru-Rollin,IDFM:463000,Bastille,527,1298
IDFM:22204,Faidherbe - Chaligny,IDFM:22203,Ledru-Rollin,616,1298
IDFM:22205,Montgallet,IDFM:22098,Reuilly - Diderot,388,1298
IDFM:22206,Michel Bizot,IDFM:22207,Porte Dorée,377,1338
IDFM:22207,Porte Dorée,IDFM:463277,Porte de Charenton,427,1338
IDFM:22208,Porte de Charenton,IDFM:463050,Porte Dorée,427,1295
IDFM:22209,Liberté,IDFM:22208,Porte de Charenton,1090,1295
IDFM:22210,Charenton - Écoles,IDFM:22214,École Vétérinaire de Maisons-Alfort,948,1338
IDFM:22211,Créteil - L'Échat,IDFM:22212,Créteil - Université,796,1302
IDFM:22212,Créteil - Université,IDFM:463056,Créteil - Préfecture,1409,1302
IDFM:22213,Créteil - Préfecture,IDFM:463167,Créteil - Université,1334,1295
IDFM:22214,École Vétérinaire de Maisons-Alfort,IDFM:22215,Maisons-Alfort - Stade,1167,1338
IDFM:22215,Maisons-Alfort - Stade,IDFM:22216,Maisons-Alfort - Les Juilliottes,1019,1338
IDFM:22216,Maisons-Alfort - Les Juilliottes,IDFM:22211,Créteil - L'Échat,861,1302
IDFM:22217,Saint-François-Xavier,IDFM:22226,Varenne,565,2199
IDFM:22218,Saint-Lazare,IDFM:22225,Liège,570,2199
IDFM:22219,Porte de Clichy,IDFM:22238,Mairie de Clichy,1200,1540
IDFM:22220,Porte de Saint-Ouen,IDFM:22244,Garibaldi,977,665
IDFM:22221,Porte de Vanves,IDFM:22235,Malakoff - Plateau de Vanves,717,2165
IDFM:22222,Pernety,IDFM:22230,Gaîté,692,2199
IDFM:22223,Plaisance,IDFM:22221,Porte de Vanves,832,2165
IDFM:22224,Miromesnil,IDFM:22218,Saint-Lazare,1018,2199
IDFM:22225,Liège,IDFM:22129,Place de Clichy,404,2199
IDFM:22226,Varenne,IDFM:463198,Invalides,428,2199
IDFM:22227,La Fourche,IDFM:22231,Brochant,579,1540
IDFM:22227,La Fourche,IDFM:462952,Guy Môquet,708,665
IDFM:22228,Guy Môquet,IDFM:478395,La Fourche,654,664
IDFM:22229,Duroc,IDFM:22217,Saint-François-Xavier,427,2199
IDFM:22230,Gaîté,IDFM:22157,Montparnasse Bienvenue,399,2199
IDFM:22231,Brochant,IDFM:22219,Porte de Clichy,648,1540
IDFM:22232,Les Agnettes,IDFM:22233,Asnières - Gennevilliers - Les Courtilles,873,1540
IDFM:22234,Gabriel Péri,IDFM:22232,Les Agnettes,931,1540
IDFM:22235,Malakoff - Plateau de Vanves,IDFM:22236,Malakoff - Rue Étienne Dolet,938,2165
IDFM:22236,Malakoff - Rue Étienne Dolet,IDFM:463087,Châtillon - Montrouge,568,2165
IDFM:22237,Châtillon - Montrouge,IDFM:463214,Malakoff - Rue Étienne Dolet,578,2199
IDFM:22238,Mairie de Clichy,IDFM:22234,Gabriel Péri,1699,1540
IDFM:22239,Carrefour Pleyel,IDFM:22243,Mairie de Saint-Ouen,1011,664
IDFM:22240,Basilique de Saint-Denis,IDFM:463301,Saint-Denis - Porte de Paris,782,664
IDFM:22241,Saint-Denis - Porte de Paris,IDFM:463126,Basilique de Saint-Denis,782,679
IDFM:22242,Saint-Denis - Université,IDFM:22240,Basilique de Saint-Denis,1292,664
IDFM:22243,Mairie de Saint-Ouen,IDFM:462977,Garibaldi,668,664
IDFM:22244,Garibaldi,IDFM:463212,Mairie de Saint-Ouen,667,665
IDFM:22364,Châtelet,IDFM:463232,Pont Neuf,517,625
IDFM:22365,Place d'Italie,IDFM:463267,Tolbiac,1886,668
IDFM:22366,Place Monge,IDFM:22386,Jussieu,421,625
IDFM:22367,Château Landon,IDFM:463033,Louis Blanc,291,625
IDFM:22368,Stalingrad,IDFM:22371,Riquet,606,625
IDFM:22369,Sully - Morland,IDFM:463078,Jussieu,1044,660
IDFM:22370,Tolbiac,IDFM:463026,Place d'Italie,618,630
IDFM:22371,Riquet,IDFM:463155,Crimée,350,625
IDFM:22372,Porte d'Ivry,IDFM:22373,Porte de Choisy,378,311
IDFM:22373,Porte de Choisy,IDFM:463235,Porte d'Italie,406,311
IDFM:22374,Porte de la Villette,IDFM:463031,Aubervilliers - Pantin - Quatre Chemins,846,633
IDFM:22375,Pyramides,IDFM:463245,Opéra,490,625
IDFM:22376,Palais Royal - Musée du Louvre,IDFM:22379,Pont Neuf,720,660
IDFM:22377,Poissonnière,IDFM:463139,Cadet,350,660
IDFM:22378,Pont Marie (Cité des Arts),IDFM:22369,Sully - Morland,405,660
IDFM:22379,Pont Neuf,IDFM:463060,Châtelet,517,660
IDFM:22380,Porte d'Italie,IDFM:463030,Porte de Choisy,406,333
IDFM:22381,Opéra,IDFM:463283,Pyramides,490,660
IDFM:22382,Le Peletier,IDFM:463145,Chaussée d'Antin - La Fayette,492,660
IDFM:22383,Les Gobelins,IDFM:22365,Place d'Italie,504,660
IDFM:22384,Louis Blanc,IDFM:463006,Château Landon,374,660
IDFM:22385,Maison Blanche,IDFM:22370,Tolbiac,403,630
IDFM:22386,Jussieu,IDFM:463265,Sully - Morland,1044,625
IDFM:22387,Gare de l'Est,IDFM:22377,Poissonnière,695,660
IDFM:22388,Chaussée d'Antin - La Fayette,IDFM:463206,Le Peletier,492,625
IDFM:22389,Corentin Cariou,IDFM:22374,Porte de la Villette,382,625
IDFM:22390,Cadet,IDFM:463255,Poissonnière,350,625
IDFM:22391,Censier - Daubenton,IDFM:22366,Place Monge,252,625
IDFM:22392,Crimée,IDFM:463295,Riquet,350,660
IDFM:22393,Fort d'Aubervilliers,IDFM:22394,Aubervilliers - Pantin - Quatre Chemins,1453,650
IDFM:22394,Aubervilliers - Pantin - Quatre Chemins,IDFM:463007,Porte de la Villette,846,650
IDFM:22396,Mairie d'Ivry,IDFM:463251,Pierre et Marie Curie,680,311
IDFM:22397,Pierre et Marie Curie,IDFM:463220,Mairie d'Ivry,680,341
IDFM:22398,Le Kremlin-Bicêtre,IDFM:22399,Villejuif Léo Lagrange,589,335
IDFM:22399,Villejuif Léo Lagrange,IDFM:463324,Villejuif Paul Vaillant-Couturier,1074,335
IDFM:22400,Villejuif - Louis Aragon,IDFM:22401,Villejuif Paul Vaillant-Couturier,1060,319
