route_id;route_long_name;stop_id;stop_name;OperatorName;ArRTown;ArRPostalRegion;stop_Geopoint;ArRXEpsg2154;ArRYEpsg2154;shortName;bookingRules;mode;Pointgeo;Nom_commune;Code_insee;Extensions;ArRAccessibility;ArRAudibleSignals;ArRVisualSigns
IDFM:C01578;607;IDFM:19001;Anizan Cavillon - Hôtel de ville;Transdev Nord Seine-Saint-Denis;Le Bourget;93013;48.9340688925456, 2.42524295749357;657891;6870608;607;;Bus;48.93406889255909, 2.4252429574935706;Le Bourget;93013;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01578:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";true;unknown;unknown
IDFM:C01579;609;IDFM:17587;Église du Bourget / Église Saint-Nicolas;Transdev Nord Seine-Saint-Denis;Le Bourget;93013;48.93944226466239, 2.429988707546732;658243;6871203;609;;Bus;48.93944226467588, 2.4299887075467326;Le Bourget;93013;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01579:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";true;unknown;unknown
IDFM:C01579;609;IDFM:19442;Jean Jaurès - Division Leclerc;Transdev Nord Seine-Saint-Denis;Le Bourget;93013;48.933027301700875, 2.423698451962809;657777;6870493;609;;Bus;48.933027301714375, 2.423698451962809;Le Bourget;93013;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01579:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";true;unknown;unknown
IDFM:C01579;609;IDFM:19187;Jules Guesde;Transdev Nord Seine-Saint-Denis;Le Blanc-Mesnil;93007;48.9440434241692, 2.446593857796;659463;6871706;609;;Bus;48.94404342418267, 2.446593857796;Le Blanc-Mesnil;93007;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01579:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";true;unknown;unknown
IDFM:C01581;613;IDFM:16717;Rue Duchesne;Keolis Grand Paris Vallée de la Marne;Chelles;77108;48.875715686292985, 2.5898645127257702;669918;6864044;613;;Bus;48.87571568630662, 2.5898645127257702;Chelles;77108;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01581:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";true;unknown;unknown
IDFM:C01583;615;IDFM:19256;Gare d'Aulnay-sous-Bois;Transdev Nord Seine-Saint-Denis;Aulnay-sous-Bois;93005;48.93155842610949, 2.49477042680187;662983;6870294;615;;Bus;48.93155842612299, 2.49477042680187;Aulnay-sous-Bois;93005;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01583:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";true;unknown;unknown
IDFM:C01583;615;IDFM:15093;Jouhaux - Blum;Transdev Nord Seine-Saint-Denis;Bondy;93010;48.917518138307955, 2.479487780382805;661853;6868740;615;;Bus;48.91751813832148, 2.4794877803828053;Bondy;93010;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01583:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";false;unknown;unknown
IDFM:C01584;616;IDFM:39040;Descartes - Renault;Transdev Nord Seine-Saint-Denis;Le Blanc-Mesnil;93007;48.95039886535087, 2.463880155064804;660734;6872404;616;;Bus;48.95039886536433, 2.4638801550648046;Le Blanc-Mesnil;93007;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01584:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";partial;partial;partial
IDFM:C00473;95-19 (future 1420);IDFM:5061;Clos Bertin;Francilité Val Parisis;Franconville;95252;48.98269388937967, 2.2312727397245373;643733;6876136;1420;;Bus;48.982693889393055, 2.2312727397245373;Franconville;95252;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00473:"", ""@version"": ""any"", ""ClimateControlList"": ""unknown""}}";false;unknown;unknown
IDFM:C00473;95-19 (future 1420);IDFM:5058;La Source;Francilité Val Parisis;Franconville;95252;48.98671556386012, 2.220432643038933;642944;6876591;1420;;Bus;48.98671556387349, 2.220432643038934;Franconville;95252;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00473:"", ""@version"": ""any"", ""ClimateControlList"": ""unknown""}}";true;unknown;unknown
