commerce;identifiant commerce;DEA_NOM_COMMERCE;DEA_JOUR FERMETURE;DEA_RUE   _LIVRAISON;DEA_CP_  LIVRAISON;DEA_COMMUNE_LIVRAISON;Column 8;Column 9;Column 10;Column 11;Column 12;Column 13;Column 14;geocodage_ban
café tabac;510704;Tabac Cika;;1 Avenue Aristide Briand;92160;Antony;;;;;;;;48.753581, 2.30498
café tabac;530279;Le Milton;dimanche;25 Avenue Vladimir Ilitch Lénine;94110;Arcueil;;;;;;;;48.810626, 2.33047
café tabac;510460;Le Brelan;dimanche;2 Boulevard Léon Feix;95100;Argenteuil;;;;;;;;48.948791, 2.253044
café tabac;510734;Tabac d'Orgemont;dimanche;57 Avenue de Stalingrad;95100;Argenteuil;;;;;;;;48.950938, 2.264138
café tabac;530289;Le Mozart;;105 Avenue du 18 avril;91200;Athis-Mons;;;;;;;;48.7021, 2.387009
tabac presse;540083;Le Fontenoy;lundi;34 Avenue François Mitterrand;91200;Athis-Mons;;;;;;;;48.70056, 2.372019
café tabac;540309;Le Celtique;;39 Avenue de la République;93300;Aubervilliers;;;;;;;;48.911021, 2.384993
tabac loto;530545;Le  Bretagne;;2 Rue de la République;92220;Bagneux;;;;;;;;48.795881, 2.301736
librairie;520647;Le Robespierre;;83 Rue Robespierre;93170;Bagnolet;;;;;;;;48.86306, 2.419066
café tabac;510490;Tabac de la Mairie;;5 Avenue Gabriel Péri;95870;Bezons;;;;;;;;48.927751, 2.215166
café tabac;520496;Le Bel Air;;25 Avenue Édouard Vaillant;93000;Bobigny;;;;;;;;48.90755, 2.468686
café tabac;520699;Le Bar des Amis;;38 Chemin de Groslay;93000;Bobigny;;;;;;;;48.907194, 2.471295
tabac loto;510405;Le Louis XV;samedi;31bis Rue des Bourguignons;92270;Bois Colombes;;;;;;;;48.913408, 2.273033
café tabac;510453;Le Jean Bart;dimanche;11 Rue d'Estienne d'Orves;92270;Bois-Colombes;;;;;;;;48.91553, 2.271325
café tabac;510495;Etoile;mercredi;323 Avenue d'Argenteuil;92270;Bois-Colombes;;;;;;;;48.92458, 2.274857
café tabac;510232;Le Royal Tabac;dimanche;99 Avenue Edouard Vaillant;92100;Boulogne-Billancourt;;;;;;;;48.833815, 2.244703
café tabac;510493;Le Marigny;dimanche;97 Route de la Reine;92100;Boulogne-Billancourt;;;;;;;;48.839771, 2.237612
café tabac;510560;Du Point du Jour;samedi;23 Place Marcel Pagnol;92100;Boulogne-Billancourt;;;;;;;;48.833713, 2.257209
tabac presse;510736;Toute La Presse;;106/108 Rue du Point du Jour;92100;Boulogne-Billancourt;;;;;;;;48.829098, 2.247569
tabac presse;540430;Le Bleu;dimanche;22 Rue Denfert-Rochereau;92100;Boulogne-Billancourt;;;;;;;;48.845907, 2.2442
café tabac;520630;La Fouchette;;1 Avenue du Général de Gaulle;94500;Champigny-sur-Marne;;;;;;;;48.82023, 2.484275
civette;530454;Civette de la coupol;dimanche;3 Place des Marseillais;94220;Charenton-le-Pont;;;;;;;;48.826213, 2.405888
café tabac;530307;Le Voltaire;dimanche;1 Place Voltaire;92290;Châtenay-Malabry;;;;;;;;48.766195, 2.279202
tabac librairie;530641;Au Fil des Jours;mercredi;102 Avenue de Paris;92320;Châtillon;;;;;;;;48.807741, 2.295376
presse;540643;La Pointe Presse;dimanche;1945 Avenue Roger Salengro;92370;Chaville;;;;;;;;48.805931, 2.184798
tabac loto;530535;Le Cardinal;lundi;71 Rue Pierre Mendes France;91380;Chilly-Mazarin;;;;;;;;48.694327, 2.310768
tabac presse;530601;Tabac Presse;;1 Place de la Libération;91380;Chilly-Mazarin;;;;;;;;48.702654, 2.321129
café tabac;530478;Le Rouget de l'isle;;7 Avenue Jean Jaures;94600;Choisy-le-Roi;;;;;;;;48.764219, 2.406386
tabac loto;510729;Tabac Le Temps de Lire;;9 Route du Pavé Blanc;92140;Clamart;;;;;;;;48.781864, 2.238629
tabac loto;510617;Civette le Breizh;dimanche;8 Rue Georges Boisseau;92110;Clichy;;;;;;;;48.903425, 2.317881
tabac loto;510621;Tbc de la République;lundi;1 Place de la République;92110;Clichy;;;;;;;;48.902898, 2.313073
café tabac;510666;Le Gala;dimanche;81 Rue Gabriel Péri;92700;Colombes;;;;;;;;48.921749, 2.246704
café tabac;510683;Le Phénicien;;64 Boulevard de Valmy;92700;Colombes;;;;;;;;48.927324, 2.253647
café tabac;510428;L'Européen;dimanche;165 Boulevard de Verdun;92400;Courbevoie;;;;;;;;48.904954, 2.256142
tabac;510516;Havannah Stock;dimanche;3 Rue Baudin C.Cial Charas;92400;Courbevoie;;;;;;;;48.895419, 2.250125
tabac loto;510664;Le Chiquito;dimanche;3 Rue de Colombes;92400;Courbevoie;;;;;;;;48.897418, 2.256369
tabac loto;530529;Maison de la presse;dimanche;1 Rue de Mesly;94000;Créteil;;;;;;;;48.791562, 2.460336
café tabac;540107;L'Interlude;dimanche;2 Rue Saint-Simon;94000;Créteil;;;;;;;;48.790798, 2.453139
café tabac;520128;Le Brazza;dimanche;76 Rue Roger Salengro;93700;Drancy;;;;;;;;48.919159, 2.437235
café tabac;520623;Le Balto;lundi;229 Avenue Jean Jaurès;93700;Drancy;;;;;;;;48.915476, 2.460007
café tabac;520735;Le Chiquito;mercredi;135 Avenue Henri Barbusse;93700;Drancy;;;;;;;;48.919766, 2.450988
presse;540314;Presse Avenir;dimanche;60 Rue Saint-Stenay - Centre Commercial Avenir;93700;Drancy;;;;;;;;48.919057, 2.419585
tabac;520344;Ambiance J;dimanche;CCial C Commercial du Val de Fontenay;94120;Fontenay-sous-Bois;;;;;;;;
tabac loto;530533;Tabac Presse Eglise;dimanche;9 Place de l' Eglise;94260;Fresnes;;;;;;;;48.75457, 2.322921
tabac loto;520544;Tabac du Centre;dimanche;23 Avenue de la Commune de Paris;95140;Garges-lès-Gonesse;;;;;;;;48.971138, 2.399331
café tabac;510640;Le Mozart;dimanche;11bis Rue Mozart;92230;Gennevilliers;;;;;;;;48.92874, 2.285148
café tabac;510682;Le Diplomate;;60 Rue Pierre Timbaud;92230;Gennevilliers;;;;;;;;48.933584, 2.297188
café tabac;530347;Tabac le Gallia;;54 Avenue Raspail;94250;Gentilly;;;;;;;;48.813724, 2.347711
café tabac;510276;Tabac du Centre;dimanche;68 Rue du Gouverneur Général Eboué;92130;Issy-les-Moulineaux;;;;;;;;48.825399, 2.268041
tabac presse;510484;Tabac - Presse;;76 Rue Camille Desmoulins;92130;Issy-les-Moulineaux;;;;;;;;48.829657, 2.2644
café tabac;530253;Brasserie des Sports;dimanche;8 Rue Raspail;94200;Ivry-sur-Seine;;;;;;;;48.811468, 2.387274
tabac loto;520285;Café du Musée;dimanche;110 Avenue du 8 mai 1945;93150;Le Blanc-Mesnil;;;;;;;;48.946532, 2.436705
café tabac;540316;Le Globe;lundi;27 Avenue Pierre et Marie Curie;93150;Le Blanc-Mesnil;;;;;;;;48.93593, 2.460385
tabac presse;530567;Le Bicêtre;dimanche;16 Ter Boulevard Chasteney de Géry;94270;Le Kremlin-Bicêtre;;;;;;;;48.805518, 2.358136
café tabac;520658;Tabac du Parc;;48 Avenue Ledru-Rollin;94170;Le Perreux-sur-Marne;;;;;;;;48.841036, 2.498192
café tabac;520505;La Civette du Raincy;lundi;8 Place du Général de Gaulle;93340;Le Raincy;;;;;;;;48.890047, 2.512022
café tabac;510233;Le Celtique;dimanche;51 Rue Aristide Briand;92300;Levallois-Perret;;;;;;;;48.891403, 2.285911
café tabac;510257;Le Tabac de l'Ouest;dimanche;43 Rue d'Alsace;92300;Levallois-Perret;;;;;;;;48.893169, 2.298706
tabac;510551;Le café des Sports;dimanche;34 Rue Rivay;92300;Levallois-Perret;;;;;;;;48.893458, 2.290323
café tabac;510579;Le Lutetia;dimanche;75 Rue Victor Hugo;92300;Levallois-Perret;;;;;;;;48.895846, 2.296506
café tabac;530630;Le Week End;mercredi;31 Avenue des Dahlias;94240;L'Haÿ-les-Roses;;;;;;;;48.777917, 2.352546
café tabac;540123;Au Petit Robinson;lundi;1 Avenue Henri Barbusse;94240;L'Haÿ-les-Roses;;;;;;;;48.779795, 2.327894
café tabac;520494;Le Cyrano;;39 rue Eugène Masse;93190;Livry-Gargan;;;;;;;;48.925854, 2.544992
tabac loto;530580;Tabac de Juilliottes;dimanche;22 Cours des Juilliottes;94700;Maisons-Alfort;;;;;;;;48.803604, 2.443482
café tabac;530616;La Civette;mercredi;29 Avenue de la République;94700;Maisons-Alfort;;;;;;;;48.802441, 2.433
café tabac;510705;Tabac du Métro;;47 Avenue Carnot;91300;Massy;;;;;;;;48.723892, 2.259725
tabac presse;520340;Tabac-Presse;dimanche;35 Boulevard  Aristide Briand;93100;Montreuil;;;;;;;;48.870101, 2.44998
café tabac;520598;Le Wilson;;176 Avenue du Président Wilson;93100;Montreuil;;;;;;;;48.853099, 2.438763
café tabac;520690;Le Celtique;;175 Boulevard de la Boissière;93100;Montreuil;;;;;;;;48.877388, 2.462122
café tabac;530522;Café de l' Europe;dimanche;79/81 Avenue Pierre Brosselette;92120;Montrouge;;;;;;;;48.819616, 2.310632
tabac loto;530537;Le Verdon;;127 bis Avenue Verdier;92120;Montrouge;;;;;;;;48.816195, 2.306045
café tabac;530576;Le Disque Bleu;;8 Avenue Henri Ginoux;92120;Montrouge;;;;;;;;48.815058, 2.320729
café tabac;520636;Café Robin;;47 Avenue Paul Doumer;93330;Neuilly-sur-Marne;;;;;;;;48.858183, 2.523556
café tabac;510459;Le Madrilène;;197 Avenue Charles de Gaulle;92200;Neuilly-sur-Seine;;;;;;;;48.884288, 2.260883
café tabac;510502;Le Celtique;dimanche;221 Avenue Charles de Gaulle;92200;Neuilly-sur-Seine;;;;;;;;48.885348, 2.257535
presse;540199;Kiosque de la Mairie;dimanche;133 Avenue Achille Peretti;92200;Neuilly-sur-Seine;;;;;;;;48.88426, 2.269076
café tabac;520255;Le Victor Hugo;;135 Avenue Jean Lolive;93500;Pantin;;;;;;;;48.893068, 2.411931
café tabac;520392;Le Saint-Claude;dimanche;54 Avenue Jean Lolive;93500;Pantin;;;;;;;;48.890976, 2.402011
tabac;520715;Le Flash;;3 Rue Sainte Marguerite;93500;Pantin;;;;;;;;48.901031, 2.391132
tabac presse;530592;Tabac des Tuileries;;200 Rue de Rivoli;75001;Paris;;;;;;;;48.864252, 2.330997
café tabac;530256;Le Ventadour;;46 Rue des Petits-Champs;75002;Paris;;;;;;;;48.86739, 2.334462
tabac loto;530613;La Tabatière;dimanche;17 Boulevard Montmartre;75002;Paris;;;;;;;;48.871666, 2.340945
café tabac;530632;Le Week End;dimanche;59 rue de Turbigo;75003;Paris;;;;;;;;48.865801, 2.357114
tabac loto;520651;La Civette Bastille;lundi;4 Rue de la Bastille;75004;Paris;;;;;;;;48.853778, 2.367787
café tabac;530305;Le Rond-Point;dimanche;123 Rue Monge;75005;Paris;;;;;;;;48.838703, 2.35089
café tabac;530525;Cherche Midi Presse;;50-52 Rue du Cherche-Midi;75006;Paris;;;;;;;;48.849165, 2.325585
café tabac;530548;Café Le Dauphine;;17 Rue Dauphine;75006;Paris;;;;;;;;48.85542, 2.340025
café tabac;530395;Le Paris Duquesne;dimanche;41 Avenue Duquesne;75007;Paris;;;;;;;;48.851314, 2.311093
café tabac;530500;Tabac de Grenelle;lundi;206 Rue de Grenelle;75007;Paris;;;;;;;;48.856908, 2.30366
tabac presse;530595;Tabac des Ministères;dimanche;45 Rue Vaneau;75007;Paris;;;;;;;;48.851393, 2.319276
tabac loto;510321;Le Rocher St-Lazare;;5 bis Rue du Rocher;75008;Paris;;;;;;;;48.878169, 2.320095
café tabac;510450;Le Hollywood;dimanche;19 Rue de Clichy;75009;Paris;;;;;;;;48.878009, 2.330088
café tabac;510613;Tabac la Caravelle;;14 Rue d' Amsterdam;75009;Paris;;;;;;;;48.876403, 2.326978
tabac loto;510674;La Bouffarde Opéra;dimanche;32 Rue de Caumartin;75009;Paris;;;;;;;;48.87256, 2.32833
café tabac;510718;Les Volcans;;105 Rue du Faubourg Poissonnière;75009;Paris;;;;;;;;48.877361, 2.348979
café tabac;540297;La Havane;;4 Place de Clichy;75009;Paris;;;;;;;;48.883383, 2.327912
café tabac;520349;Le Lutétia;dimanche;156 Rue La Fayette;75010;Paris;;;;;;;;48.879124, 2.356719
café tabac;520438;La Rame;;21 Rue Philippe de Girard;75010;Paris;;;;;;;;48.882791, 2.361565
café tabac;520495;Le Balto;;125 Boulevard  de Magenta;75010;Paris;;;;;;;;48.880303, 2.35213
tabac;520627;Tabac le Navy;;26 Rue du Château d'Eau;75010;Paris;;;;;;;;48.870345, 2.359987
café tabac;540633;Le Coq D'Or;dimanche;88 Rue du Faubourg-Saint-Martin;75010;Paris;;;;;;;;48.872688, 2.357871
tabac;520429;Le Normandie;;109 Rue de Charonne;75011;Paris;;;;;;;;48.854634, 2.384802
tabac presse;520451;La Petite Etincelle;;38 Boulevard  Beaumarchais;75011;Paris;;;;;;;;48.85643, 2.368612
tabac loto;520497;Tabac Bastille;;21 Rue Daval;75011;Paris;;;;;;;;48.854656, 2.371133
tabac loto;520573;Royale Civette;dimanche;164 Rue de la Roquette;75011;Paris;;;;;;;;48.858605, 2.384352
café tabac;520684;L'Amicale;;9 Rue des Trois Bornes;75011;Paris;;;;;;;;48.866405, 2.371716
café tabac;540061;Le Royal Parmentier;dimanche;17 Avenue Parmentier;75011;Paris;;;;;;;;48.86035, 2.378348
café tabac;520278;Tabac-Café de la Seine;dimanche;21 Avenue Ledru-Rollin;75012;Paris;;;;;;;;48.846794, 2.369141
tabac presse;520445;Le St-Mandé;dimanche;82 Avenue de Saint-Mandé;75012;Paris;;;;;;;;48.844524, 2.405036
café tabac;520522;Tabac de la Poste;;25 Rue du Rendez-Vous;75012;Paris;;;;;;;;48.845596, 2.403314
tabac presse;520631;Le Triple 8;;157 Rue de Charenton;75012;Paris;;;;;;;;48.844756, 2.383702
civette;520723;Tabac Le Bercy;;6 Rue Chambertin;75012;Paris;;;;;;;;48.840052, 2.38032
tabac librairie;530152;Tabac - Presse;dimanche;156 Rue de Tolbiac;75013;Paris;;;;;;;;48.826116, 2.354111
café tabac;530200;Korum-Café;dimanche;12 Rue Neuve Tolbiac;75013;Paris;;;;;;;;48.831884, 2.378721
tabac presse;530249;Tabac Tolbiac;dimanche;34 Rue de Tolbiac;75013;Paris;;;;;;;;48.82847, 2.372673
café tabac;530392;Le Narval;dimanche;58 Rue Jeanne d'Arc;75013;Paris;;;;;;;;48.831514, 2.366237
tabac loto;530544;Le Naja;dimanche;56 Avenue des Gobelins;75013;Paris;;;;;;;;48.833689, 2.353696
tabac loto;530555;Civette Nationale;;10 Place Pinel;75013;Paris;;;;;;;;48.833642, 2.361778
café tabac;530619;Tabac de la Glacière;;89 Rue de la Glacière;75013;Paris;;;;;;;;48.829306, 2.343572
café tabac;520634;Tabac des Sports;dimanche;35 Avenue de la Porte de Choisy;75013;Paris;;;;;;;;48.819627, 2.364811
café tabac;530285;Le Rallye;;81 Rue de la Tombe Issoire;75014;Paris;;;;;;;;48.827491, 2.332513
café tabac;530303;Tabac de la Gaïté;dimanche;49 Rue de la Gaîté;75014;Paris;;;;;;;;48.838623, 2.322814
café tabac;530393;Tabac l'Observatoire;;166 Boulevard du Montparnasse;75014;Paris;;;;;;;;48.839883, 2.335383
civette;530428;Tabac des Plantes;;36-38 Rue des Plantes;75014;Paris;;;;;;;;48.829595, 2.32276
tabac presse;530429;Tabac des Catacombes;dimanche;41 Avenue du Général Leclerc;75014;Paris;;;;;;;;48.830294, 2.32927
café tabac;530451;Café le Renoir;dimanche;207 Rue Raymond Losserand;75014;Paris;;;;;;;;48.828527, 2.307336
café tabac;530457;Tabac Pte d'Orléans;;134 Avenue du Général Leclerc;75014;Paris;;;;;;;;48.823796, 2.325442
tabac;540376;Tabac du Dôme;;108 Boulevard du Montparnasse;75014;Paris;;;;;;;;48.84202, 2.328911
tabac;510181;L‘Alliance;dimanche;52-56 Rue de la Croix-Nivert;75015;Paris;;;;;;;;48.845435, 2.297813
tabac presse;510182;Le Comptoir du Parc;dimanche;20 Rue Cauchy;75015;Paris;;;;;;;;48.842797, 2.276398
café tabac;510406;Au Jean Bart;dimanche;44 Rue du Docteur Roux;75015;Paris;;;;;;;;48.839612, 2.309589
civette;510483;Civette St-Charles;dimanche;158 Rond-Point Saint-Charles;75015;Paris;;;;;;;;48.842161, 2.281276
tabac loto;510544;Tabac art et galerie;dimanche;177 Rue de Vaugirard;75015;Paris;;;;;;;;48.843126, 2.313502
tabac loto;510572;Le Flash;dimanche;38 Rue Paul Barruel;75015;Paris;;;;;;;;48.837729, 2.305618
tabac;510670;Tabac le Chamois;;355 Rue de Vaugirard;75015;Paris;;;;;;;;48.836768, 2.295726
tabac loto;510700;Tabac L'Ariel;jeudi;1 Rue des Morillons;75015;Paris;;;;;;;;48.834487, 2.295885
café tabac;510716;Les Favorites;;125 Rue de Cambronne;75015;Paris;;;;;;;;48.840661, 2.304215
tabac loto;540480;Le Brazza;dimanche;294 296 Rue de Vaugirard;75015;Paris;;;;;;;;48.838279, 2.298186
café tabac;540506;Le Diplomate;dimanche;252 Rue de la Convention;75015;Paris;;;;;;;;48.835515, 2.302024
tabac loto;510300;La Vitole;dimanche;126 Boulevard Murat;75016;Paris;;;;;;;;48.837168, 2.259038
tabac presse;510501;Tabac de l'empire;;64 Rue Michel Ange;75016;Paris;;;;;;;;48.842909, 2.259817
café tabac;510634;La Parisienne;;57 Avenue Mozart;75016;Paris;;;;;;;;48.854733, 2.269597
café tabac;510726;Tabac des Musées;dimanche;7 Avenue Pierre 1er de Serbie;75016;Paris;;;;;;;;48.861836, 2.288925
café tabac;510588;Café Malesherbes;dimanche;192 Boulevard de Malesherbes;75017;Paris;;;;;;;;48.888978, 2.304448
tabac;510665;Tabac Le Tocqueville;dimanche;55 Boulevard Pereire;75017;Paris;;;;;;;;48.887416, 2.307331
tabac;510689;Civette Ponce;;14 Rue Poncelet;75017;Paris;;;;;;;;48.879119, 2.297168
café tabac;540251;Le Marigny;dimanche;30 Rue des Batignolles;75017;Paris;;;;;;;;48.885148, 2.320727
café tabac;510278;Le Lamarck;;55 Rue Lamarck;75018;Paris;;;;;;;;48.889916, 2.338478
café tabac;510548;La Divette de Clichy;;18 Avenue de Clichy;75018;Paris;;;;;;;;48.884798, 2.327008
tabac loto;510699;Tabac Point Presse;dimanche;2 Rue Frédéric Schneider;75018;Paris;;;;;;;;48.898387, 2.338696
café tabac;520333;Le Narval;dimanche;100 Boulevard de la Villette;75019;Paris;;;;;;;;48.876833, 2.371983
tabac loto;520601;La PoRoute de Chaumont;;84 Rue Manin;75019;Paris;;;;;;;;48.88612, 2.39394
tabac presse;540260;Tabac Presse;dimanche;36 Avenue Simon Bolivar;75019;Paris;;;;;;;;48.87516, 2.382603
tabac;540269;Le Bolivar;dimanche;125 Avenue Simon Bolivar;75019;Paris;;;;;;;;48.880742, 2.373755
café tabac;520407;L'Aubisque;lundi;113 Rue des Pyrénées;75020;Paris;;;;;;;;48.85603, 2.404863
café tabac;520488;Le Saint-Germain;;120 Rue de Bagnolet;75020;Paris;;;;;;;;48.860044, 2.404036
civette;520529;Tabac Au Balcon;lundi;142 Boulevard de Ménilmontant;75020;Paris;;;;;;;;48.866524, 2.383852
café tabac;520609;Le Cantal;dimanche;20 Rue Deveria;75020;Paris;;;;;;;;48.872532, 2.399178
café tabac;520112;Le Fuégo;dimanche;80 Avenue Lénine;93380;Pierrefitte-sur-Seine;;;;;;;;48.957902, 2.358401
tabac loto;520410;Le Balto;lundi;1 Rue de Paris;93380;Pierrefitte-sur-Seine;;;;;;;;48.963423, 2.359349
café tabac;520417;Le Diplomate;dimanche;52 Boulevard  Pasteur;93380;Pierrefitte-sur-Seine;;;;;;;;48.964664, 2.365583
tabac loto;510611;La Coupole d' Argent;dimanche;1 Rue Chantecoq;92800;Puteaux;;;;;;;;48.882733, 2.238946
tabac presse;510537;Tabac Beauregard;;67 Avenue du 18 Juin 1940;92500;Rueil-Malmaison;;;;;;;;48.868105, 2.1939
café tabac;510735;Le Narval;;2 Rue du Gué;92500;Rueil-Malmaison;;;;;;;;48.879348, 2.184722
café tabac;520570;Bar Tabac Le Balto;dimanche;44 Boulevard  Jules Guesde;93200;Saint-Denis;;;;;;;;48.937269, 2.350488
café tabac;540176;Le Khedive;dimanche;3 Place Victor Hugo;93200;Saint-Denis;;;;;;;;48.935725, 2.358232
café tabac;530547;Tabac du Marché;dimanche;9 Rue Bobillot;94100;Saint-Maur-des-Fossés;;;;;;;;48.806872, 2.473192
café tabac;530587;Le Gambetta;dimanche;1 Place de Rimini;94100;Saint-Maur-des-Fossés;;;;;;;;48.793757, 2.496522
café tabac;530277;Royal St Maurice;lundi;56 Ter Avenue Mar de Lattre de Tassigny;94410;Saint-Maurice;;;;;;;;48.822724, 2.420038
café tabac;510702;Le Chiquito;;31 Rue Charles Schmidt;93400;Saint-Ouen;;;;;;;;48.903811, 2.333661
café tabac;520329;La Régence;;5 Avenue du 8 mai 1945;95200;Sarcelles;;;;;;;;48.976927, 2.375217
tabac presse;520707;Rougemont Presse;dimanche;2 Rue Pierre Brossolette;93270;Sevran;;;;;;;;48.933571, 2.511027
café tabac;520568;Le Royal FV;dimanche;76 Rue Jean Jaurès;93240;Stains;;;;;;;;48.968012, 2.383046
tabac loto;520588;Tabac de la Mairie;;1 Rue Carnot;93240;Stains;;;;;;;;48.955726, 2.383049
tabac loto;520596;Tabac Le Pomelo;dimanche;80 Boulevard  Maxime Gorki;93240;Stains;;;;;;;;48.945426, 2.386574
tabac loto;510456;Civette Saint-Claude;dimanche;4 Place du Général Leclerc;92150;Suresnes;;;;;;;;48.869275, 2.227513
presse;540124;Tabac 3 F;mercredi;2bis Avenue du 25 août 1944;94320;Thiais;;;;;;;;48.76255, 2.401748
café tabac;540626;Au Soleil Levant;dimanche;83 Avenue Victor Hugo;92170;Vanves;;;;;;;;48.825328, 2.292138
café tabac;510692;Tabac le Royal;;1 Rue Georges Clémenceau;78000;Versailles;;;;;;;;48.803538, 2.131715
café tabac;530204;L'Express;;2 Rue du Président Robert Lakota;91270;Vigneux-sur-Seine;;;;;;;;48.707778, 2.413924
café tabac;530582;Le Rallye;dimanche;77 Rue Jean Jaures;94800;Villejuif;;;;;;;;48.792774, 2.366587
café tabac;530610;Tabac Aline;dimanche;1 Rue Camille Blanc;94800;Villejuif;;;;;;;;48.782717, 2.366675
café tabac;520525;Tabac de La Gare;;7 Place de la Gare;93250;Villemomble;;;;;;;;48.889032, 2.510887
café;520137;Café de La Gare;dimanche;10 Place de la Gare;93420;Villepinte;;;;;;;;48.944866, 2.566382
tabac loto;520704;Le Rallye;lundi;17 Rue du Général de Gaulle;94350;Villiers-sur-Marne;;;;;;;;48.826772, 2.539032
café tabac;520367;Tabac des Rigollots;dimanche;153 Rue Defrance;94300;Vincennes;;;;;;;;48.849334, 2.455733
tabac loto;540002;Tabac de la Tourelle;mercredi;170 Avenue de Paris;94300;Vincennes;;;;;;;;48.846447, 2.419373
café tabac;530540;Le Fontenoy;samedi;120 Avenue Ernest Havet;94400;Vitry-sur-Seine;;;;;;;;48.789554, 2.402785
café tabac;530378;Le Fortville;lundi;106 Rue Véron;94140;Alfortville;;;;;;;;48.810098, 2.414244
café tabac;530420;Le Royal 16;;16 Rue Charles de Gaulle;94140;Alfortville;;;;;;;;48.814453, 2.413664
café tabac;540623;Le Perroquet Vert;;123 Rue Paul Vaillant-Couturier;94140;Alfortville;;;;;;;;48.80844, 2.417739
café tabac;540640;Le Bergerac;mercredi;108 Rue Etienne Dolet;94140;Alfortville;;;;;;;;48.790207, 2.42575
café tabac;530573;La Royale;dimanche;122 Rue Marius Sidobre;94110;Arcueil;;;;;;;;48.80678, 2.335989
tabac loto;510722;Presse du Château;dimanche;15 Avenue du Château;95100;Argenteuil;;;;;;;;48.933868, 2.231937
café tabac;510508;Le Voltaire;dimanche;22 Boulevard Voltaire;92600;Asnières-sur-Seine;;;;;;;;48.912274, 2.296486
café tabac;510654;Le Renitas;;102 Avenue d'Argenteuil;92600;Asnières-sur-Seine;;;;;;;;48.914921, 2.283115
café tabac;510668;Le Rapide;dimanche;31 Rue d'Anjou;92600;Asnières-sur-Seine;;;;;;;;48.905487, 2.282798
café tabac;520553;Le Real;;63 Rue du Moutier;93300;Aubervilliers;;;;;;;;48.915291, 2.377192
café tabac;520566;Tabac de la Mairie;dimanche;20 Rue du Moutier;93300;Aubervilliers;;;;;;;;48.914731, 2.382272
café tabac;520706;Tabac de l'Hottel de Ville;;2 Reue Raoul Berton;93170;Bagnolet;;;;;;;;48.868394, 2.417693
café tabac;520448;La Source;;7 Rue de Paris;93000;Bobigny;;;;;;;;48.895641, 2.425573
café tabac;520703;Tabac Le Jaurès;;203 Avenue Jean Jaurès;93000;Bobigny;;;;;;;;48.909887, 2.437219
café tabac;530609;Tabac de la Gare;dimanche;5 Avenue du Général Leclerc;94470;Boissy-Saint-Léger;;;;;;;;48.752838, 2.506954
tabac presse;520458;Tabac Suzanne;dimanche;24 Avenue Suzanne Buisson;93140;Bondy;;;;;;;;48.913787, 2.480715
tabac presse;520681;Tabac du Centre;dimanche;64 Rue Jules Guesde;93140;Bondy;;;;;;;;48.903208, 2.479534
tabac loto;540315;Le Havan Cuir;lundi;7 Place Nicole Neuburger;93140;Bondy;;;;;;;;48.901707, 2.490675
librairie;540142;Bonn' News;dimanche;3 Aveneu du Bicentenaire;94380;Bonneuil-sur-Marne;;;;;;;;48.765622, 2.488705
café tabac;520520;La Navette de Bry;samedi;1 Place Daguerre;94360;Bry-sur-Marne;;;;;;;;48.8344, 2.519495
café tabac;540595;Tabac de la Mairie;dimanche;11 Place Gambetta;94230;Cachan;;;;;;;;48.794886, 2.335077
café tabac;520512;Le Prestige;lundi;182 Avenue Maurice Thorez;94500;Champigny-sur-Marne;;;;;;;;48.816302, 2.538542
tabac loto;520549;Tabac Au Scribe;lundi;18 Rue Albert Thomas;94500;Champigny-sur-Marne;;;;;;;;48.811802, 2.510741
tabac loto;520584;Tabac de la Mairie;dimanche;4 Rue Louis Talamoni;94500;Champigny-sur-Marne;;;;;;;;48.813588, 2.510422
tabac loto;520730;Tabac du Fort;mardi;123 Rue du Monument;94500;Champigny-sur-Marne;;;;;;;;48.806664, 2.532011
tabac librairie;530562;Mag Presse;dimanche;2 Place du Maréchal de Lattre de Tassigny;94550;Chevilly-Larue;;;;;;;;48.771363, 2.367335
tabac presse;530566;Le Stalingrad;;58 Boulevard de Stalingrad;94600;Choisy-le-Roi;;;;;;;;48.771381, 2.401004
tabac loto;510687;Tabac de la Mairie;dimanche;21 Rue du Trosy;92140;Clamart;;;;;;;;48.800426, 2.262621
boulangerie;510237;La Belle Colombes;lundi;125 Avenue de Stalingrad;92700;Colombes;;;;;;;;48.931824, 2.266467
café tabac;510658;L'Euphrate;;34 Boulevard Edgar Quinet;92700;Colombes;;;;;;;;48.924644, 2.247732
tabac presse;510407;Presse Le Protocole;samedi;36bis Square des Corolles;92400;Courbevoie;;;;;;;;48.890394, 2.245565
café tabac;510435;Tabac Becon;;11 Avenue de la Liberté;92400;Courbevoie;;;;;;;;48.904682, 2.26854
tabac presse;510630;Librairie Ste Marie;;9 Rue Sainte-Marie;92400;Courbevoie;;;;;;;;48.893678, 2.257966
café tabac;530583;Le Royal Bleuet;;115 Rue Chéret;94000;Créteil;;;;;;;;48.805543, 2.456238
tabac presse;530618;Totem;dimanche;27 Rue Falkirk;94000;Créteil;;;;;;;;48.771807, 2.459862
café tabac;520727;Les Mortefontaines;dimanche;63 Avenue Mathieu Chazotte;95170;Deuil-la-Barre;;;;;;;;48.971396, 2.320979
