zdc,latitude,longitude
419897,48.7164800865171,2.38906064190251
417630,48.82084263604628,2.2188608495701967
419893,48.71390498168464,2.3789646749099336
422901,48.71180413515165,2.442590907712117
422926,48.70663093437501,2.440390131418176
422931,48.68418024745503,2.397935056365692
411650,48.982345964200995,2.0020521745696356
422972,48.79385126827456,2.4776722855652156
61037,48.682384203379065,2.215149505760018
61038,48.68085847532725,2.3789972242614987
61030,48.67965571935396,1.6370410868622427
61032,48.68100997823535,2.180680906801747
61028,48.68140511300337,2.1991216517967236
61026,48.680777943048696,2.1419367848376623
61020,48.6807679545291,2.232166945814598
61023,48.68084823002794,2.4272660612592283
61021,48.680648028515144,2.3143221066556086
61018,48.68084761221327,2.342573235921479
61014,48.67866356669999,2.108155838592268
61011,48.679115370122155,2.3457123274323273
61013,48.67961751128197,2.1628065063558815
61009,48.67897044575055,2.179714493257683
61008,48.680452585010194,2.1152636092312176
61006,48.67866701250061,2.1912581791603225
61003,48.67807871775481,2.404497845292923
61001,48.67867531495053,2.174747666918424
422597,48.60197914670589,2.478175766872928
61084,48.178158605979455,2.7483745515891145
61086,48.17725170136445,2.864913399083211
61088,48.180101985233435,2.7241139242661023
61089,48.180434669254105,2.7481618909063013
61082,48.17593606105968,2.746266257349117
61096,48.18449811193895,2.740230729670243
61093,48.18227046348417,2.731899682277667
61065,48.15015465177661,2.7085712845168297
61063,48.1498943029998,2.7033957709473193
61069,48.155762404558516,2.695051890249476
61079,48.17317475969021,2.872268877527136
61077,48.170502264941476,2.8722148072870897
61072,48.15772564091747,2.826917384059772
61040,48.681905407638084,2.285650487223472
61042,48.68250977280342,2.1705779186496708
61045,48.682853776583286,2.3599898927227976
61049,48.68342375254785,2.1636353419362866
61051,48.14316968800923,2.6952052246754405
422633,48.605458517201065,2.4676020322746046
61054,48.14572417546861,2.696548493336644
422641,48.61221889039243,2.474777290626467
422602,48.60244139454646,2.4728409005967813
461836,48.848105456436365,2.4664042916223567
461843,48.44087064809983,2.1542119560296578
417906,48.97965692354688,1.9130392051374276
461860,48.83473800999463,1.9926778746590967
461884,48.90846331809247,2.601700651609439
461887,48.90289606851478,2.6015113495191193
463900,48.85560903970246,2.3073586902211036
463950,48.827019652953986,2.4544561469103714
418915,48.775721368483275,2.0463537622188497
417874,48.97069936390459,2.193190009274445
417846,48.78684248702405,2.2601492274269104
422757,49.01286310663178,2.188837169862269
422765,48.58870543913678,2.471840138134257
422776,48.605808324908466,2.463380106996186
418987,48.64687041252752,1.8555717251844281
426962,48.43686017404471,2.1363953209813844
426958,48.44372764669522,2.1436183982417107
62760,48.69305805926736,2.1812257656069733
62761,48.69235299348373,2.4199120540777495
62767,48.692907725940394,2.2688359958859805
62751,48.69165344484495,2.370642499002056
62754,48.692583500097925,2.1075515042895705
62752,48.69057437931475,2.37411991898998
62758,48.6926724194897,2.4153298648007024
61694,48.46123741880957,2.8726166186539017
62740,48.69148756355343,2.1797898111347767
61691,48.45989048635713,2.530216053794026
62745,48.691249310691425,2.21797145322538
62742,48.691919159775225,2.3383037358984646
62741,48.691629989523896,2.176961568272028
62743,48.69132339226119,2.3330805732584494
62739,48.69173456661961,2.249396583163359
61682,48.45067654445229,2.7489152101828225
61684,48.452518326968935,3.061851977143086
