stop_id_a,nom_a,stop_id_b,nom_b,duree_moyenne_secondes,nb_observations
IDFM:462998,Odéon,IDFM:462994,Mabillon,60,466
IDFM:462994,Mabillon,IDFM:462967,"Sèvres - Babylone",72,466
IDFM:462967,"Sèvres - Babylone",IDFM:462959,Vaneau,53,466
IDFM:462959,Vaneau,IDFM:21970,Duroc,61,466
IDFM:21970,Duroc,IDFM:21979,Ségur,79,466
IDFM:21979,Ségur,IDFM:21969,"La Motte-Picquet - Grenelle",93,466
IDFM:21969,"La Motte-Picquet - Grenelle",IDFM:463124,"Avenue Émile Zola",62,466
IDFM:463124,"Avenue Émile Zola",IDFM:463076,"Charles Michels",62,466
IDFM:463076,"Charles Michels",IDFM:21972,"Javel - André Citroën",65,466
IDFM:21972,"Javel - André Citroën",IDFM:21971,"Église d'Auteuil",91,466
IDFM:21971,"Église d'Auteuil",IDFM:21907,"Michel-Ange - Auteuil",59,466
IDFM:21907,"Michel-Ange - Auteuil",IDFM:21974,"Porte d'Auteuil",72,466
IDFM:21974,"Porte d'Auteuil",IDFM:21988,"Boulogne Jean Jaurès",137,475
IDFM:21988,"Boulogne Jean Jaurès",IDFM:21989,"Boulogne Pont de Saint-Cloud",99,475
IDFM:463234,"Porte d'Auteuil",IDFM:21904,"Michel-Ange - Molitor",100,7
IDFM:21904,"Michel-Ange - Molitor",IDFM:21985,"Chardon Lagache",60,467
IDFM:21985,"Chardon Lagache",IDFM:21982,Mirabeau,53,467
IDFM:21982,Mirabeau,IDFM:462958,"Javel - André Citroën",68,467
IDFM:462958,"Javel - André Citroën",IDFM:21986,"Charles Michels",67,467
IDFM:21986,"Charles Michels",IDFM:21987,"Avenue Émile Zola",63,467
IDFM:21987,"Avenue Émile Zola",IDFM:463202,"La Motte-Picquet - Grenelle",62,467
IDFM:463202,"La Motte-Picquet - Grenelle",IDFM:463315,Ségur,81,467
IDFM:463315,Ségur,IDFM:463084,Duroc,80,467
IDFM:463084,Duroc,IDFM:21977,Vaneau,63,467
IDFM:21977,Vaneau,IDFM:21976,"Sèvres - Babylone",50,467
IDFM:21976,"Sèvres - Babylone",IDFM:21973,Mabillon,69,467
IDFM:21973,Mabillon,IDFM:21978,Odéon,63,467
IDFM:21978,Odéon,IDFM:462944,"Cluny - La Sorbonne",42,467
IDFM:462944,"Cluny - La Sorbonne",IDFM:21975,"Maubert - Mutualité",41,467
IDFM:21975,"Maubert - Mutualité",IDFM:21984,"Cardinal Lemoine",63,467
IDFM:21984,"Cardinal Lemoine",IDFM:21968,Jussieu,54,467
IDFM:21968,Jussieu,IDFM:463024,"Gare d'Austerlitz",113,467
IDFM:463136,"Boulogne Pont de Saint-Cloud",IDFM:463137,"Boulogne Jean Jaurès",97,460
IDFM:463137,"Boulogne Jean Jaurès",IDFM:21904,"Michel-Ange - Molitor",116,460
IDFM:462942,Nation,IDFM:463298,"Rue des Boulets",64,1338
IDFM:463298,"Rue des Boulets",IDFM:21934,Charonne,61,1338
IDFM:21934,Charonne,IDFM:21916,Voltaire,57,1338
