lat_coor1;long_coor1;Localisation;Code postal;Ville;Accès;Accès Libre;Complément de localisation;Disponibilité Semaine;Disponibilité Horaires;point_geographique
48.8460746;2.2778269;Métro Javel André Citroën;75015;PARIS;Intérieur;OUI;À côté du guichet service;7j/7;Heures ouvrables;48.8460746, 2.2778269
48.8654976;2.3566895;Ligne 11 Art et Métier;75003;PARIS;Intérieur;OUI;A côté de la recette;7j/7;Heures ouvrables;48.8654976, 2.3566895
48.8770986;2.3493995;Métro Poissonnière;75009;PARIS;Intérieur;OUI;Face recette;7j/7;Heures ouvrables;48.8770986, 2.3493995
48.8912666;2.2399637;RER A La Défense;92800;Puteaux;Intérieur;OUI;Derrière la recette;7j/7;Heures ouvrables;48.8912666, 2.2399637
48.850026;2.3483105;Métro Cardinal Lemoine;75005;PARIS;Intérieur;OUI;En face guichet service;7j/7;Heures ouvrables;48.850026, 2.3483105
48.87939;2.35699;Métro L4 Gare du nord;75010;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.87939, 2.35699
48.84223;2.23872;Métro Boulogne Jean Jaurès;92100;Boulogne;Intérieur;OUI;A coté du guichet service;7j/7;Heures ouvrables;48.84223, 2.23872
48.8487147;2.3961146;RER A Nation;75012;PARIS;Intérieur;OUI;Salle de echanges sup.;7j/7;Heures ouvrables;48.8487147, 2.3961146
48.882141434194494;2.320955122165236;Métro Rome;75017;PARIS;Intérieur;OUI;Face à la recette;7j/7;Heures ouvrables;48.882141434194494, 2.320955122165236
48.85770;2.34742;Métro Châtelet ligne 4;75001;PARIS;Intérieur;OUI;A côté de la recette;7j/7;Heures ouvrables;48.8577, 2.34742
48.8499959;2.3335848;Métro Maubert Mutualité;75005;PARIS;Intérieur;OUI;À côté guichet service;7j/7;Heures ouvrables;48.8499959, 2.3335848
48.8425864;2.3128778;Métro 6 Pasteur;75015;PARIS;Intérieur;OUI;Face recette;7j/7;Heures ouvrables;48.8425864, 2.3128778
48.85235;2.38947;Métro Rue des boulets;75011;PARIS;Intérieur;OUI;Près de la recette;7j/7;Heures ouvrables;48.85235, 2.38947
48.7341861;2.27343;RER B Massy Verrieres;91300;Massy;Intérieur;OUI;Près de la recette;7j/7;Heures ouvrables;48.7341861, 2.27343
48.88806000000005;2.2491900000000555;Métro Esplanade de la défense;92800;Puteaux;Extérieur;OUI;"A droite guichet service

Métro 1 : esplanade de la défense";7j/7;Heures ouvrables;48.88806000000005, 2.2491900000000555
48.8421914;2.3650222;Métro Gare d'Austerlitz;75013;PARIS;Intérieur;OUI;À côté guichet service;7j/7;Heures ouvrables;48.8421914, 2.3650222
48.86846;2.3096;Métro Franklin D Roosevelt;75008;PARIS;Intérieur;OUI;Côté droit guichet service;7j/7;Heures ouvrables;48.86846, 2.3096
48.882440220369105;2.3372445462211364;Métro Pigalle;75018;PARIS;Intérieur;OUI;A gauche de l'entrée;7j/7;Heures ouvrables;48.882440220369105, 2.3372445462211364
48.8451013001567;2.4015106599232916;Métro Picpus;75012;PARIS;Intérieur;OUI;Face à l'entrée;7j/7;Heures ouvrables;48.8451013001567, 2.4015106599232916
48.85086465437268;2.325400626695964;Métro Sèvres Babylonne;75015;PARIS;Intérieur;OUI;A l'entrée de la bouche Métro;7j/7;Heures ouvrables;48.85086465437268, 2.325400626695964
48.8671989;2.3849151;Métro Ménilmontant;75020;PARIS;Intérieur;OUI;En face guichet service;7j/7;Heures ouvrables;48.8671989, 2.3849151
48.8712559;2.2773927;Métro porte Dauphine;75016;PARIS;Intérieur;OUI;En face guichet service;7j/7;Heures ouvrables;48.8712559, 2.2773927
48.897750854737524;2.359054565625901;Métro Porte de la Chapelle;75010;PARIS;Intérieur;OUI;Face à la recette;7j/7;Heures ouvrables;48.897750854737524, 2.359054565625901
