code_externe,zdc_a,zdc_b,nom_a,nom_b,duree_mediane_secondes,nb_observations
C00209,66602,66644,"Centre de Secours","Avenue des Tilleuls / Espérance",60,173
C00209,66669,66709,"Les Montagnettes","École Gabriel Péri",60,173
C00209,66278,66319,"Les Charmilles","Pont Chinois",60,15
C00209,66663,66699,"Ampère - Chartrel",Chapellerie,60,173
C00209,66683,66704,"Henri Dunant","Descartes - Malcolm X",60,87
C00209,66515,66535,"Carrefour de l'Europe",Goussainville,120,86
C00209,66588,66602,"Marché de Goussainville / Stade Maurice Baquet","Centre de Secours",60,164
C00209,69187,69190,Airapolis,Convention,60,116
C00209,66535,419673,Goussainville,"Marcel Cerdan",60,173
C00209,66632,66653,"Mairie / Les Noues","La Charmeuse",60,163
C00209,66653,66669,"La Charmeuse","Les Montagnettes",60,122
C00209,66704,66710,"Descartes - Malcolm X",Montgolfier,60,87
C00209,66699,66710,Chapellerie,Montgolfier,60,173
C00209,66609,66632,"Victor Basch","Mairie / Les Noues",60,173
C00209,66725,66737,Camélinat,"Cachin Blatreux",60,86
C00209,66725,483478,Camélinat,Acacias,60,23
C00209,66709,483478,"École Gabriel Péri",Acacias,60,66
C00208,65497,485861,"Georges Brassens","Place Charles de Gaulle",60,358
C00208,65461,65499,"Parc Commercial Pont de Pierre","La Muette - Europe",120,334
C00208,65535,65582,"Jean-Baptiste Corot - Lamartine","Garges - Sarcelles",120,358
C00208,65416,485861,"Les Mûriers","Place Charles de Gaulle",120,115
C00208,65416,65445,"Les Mûriers",Mairie,120,115
C00208,65561,65592,"Pierre De Coubertin","Paul Langevin",60,358
C00208,65445,65505,Mairie,"Charles de Gaulle - Mitterrand",120,115
C00208,65505,65535,"Charles de Gaulle - Mitterrand","Jean-Baptiste Corot - Lamartine",60,358
C00208,65499,65536,"La Muette - Europe","Jacques Decour",60,358
C00208,65497,65523,"Georges Brassens","8 mai 1945",60,358
C00208,65523,65561,"8 mai 1945","Pierre De Coubertin",60,230
C00208,65505,485861,"Charles de Gaulle - Mitterrand","Place Charles de Gaulle",120,243
C00208,65536,65592,"Jacques Decour","Paul Langevin",60,259
C02731,64863,64918,Turgot,Sartrouville,120,78
C02731,64907,479074,Courteline,"Henri Brisson",60,78
C02731,64882,479074,Convention,"Henri Brisson",120,78
C02731,65041,65087,Vendanges,"La Garenne",60,78
C02731,64921,64962,"Henri Barbusse / Boulevard de Bezons","Alphonse Allais",120,78
C02731,65087,483240,"La Garenne",Trembleaux,60,78
C02731,64918,64963,Sartrouville,Poste,120,78
C02731,65088,65090,Jouhaux,"Calmette Guérin",120,78
C02731,65090,65138,"Calmette Guérin","Les Perriers",60,78
C02731,64907,64942,Courteline,"Gabriel Péri",120,78
C02731,65049,65088,Flaubert,Jouhaux,60,78
C02731,65006,65033,Temple,"Docteur Roux",60,78
C02731,64921,64956,"Henri Barbusse / Boulevard de Bezons",Théâtre,120,78
C02731,64962,64989,"Alphonse Allais","Grétry / Joliot Curie",60,78
C02731,64977,65006,"Stalingrad / Masures",Temple,60,32
C02731,65041,65047,Vendanges,"Mont Olivet",60,69
C02731,64963,64977,Poste,"Stalingrad / Masures",60,78
C02731,64976,65016,"Paul Bert / Clémenceau",Saint-Exupéry,60,78
C02731,65033,65068,"Docteur Roux","Martial Dechard",60,78
C02731,64863,64882,Turgot,Convention,60,78
C02731,65138,483240,"Les Perriers",Trembleaux,60,78
C02731,65016,65049,Saint-Exupéry,Flaubert,60,78
C02731,64942,64971,"Gabriel Péri",Baudin,60,78
C02731,64956,64976,Théâtre,"Paul Bert / Clémenceau",60,27
C02731,64971,64989,Baudin,"Grétry / Joliot Curie",60,78
C02731,65047,65068,"Mont Olivet","Martial Dechard",,0
C02730,64882,479071,Convention,Tocqueville,60,78
C02730,65041,65087,Vendanges,"La Garenne",120,78
C02730,64921,64962,"Henri Barbusse / Boulevard de Bezons","Alphonse Allais",60,78
C02730,64887,64918,Lamartine,Sartrouville,60,78
C02730,65087,483240,"La Garenne",Trembleaux,60,78
C02730,64918,64963,Sartrouville,Poste,120,78
C02730,64882,64887,Convention,Lamartine,60,78
C02730,64926,64989,"Jolis Monts","Grétry / Joliot Curie",60,78
C02730,65088,65090,Jouhaux,"Calmette Guérin",120,78
