zdc,label,commune,latitude,longitude
74369,"La Bouloye",Rampillon,48.5344074,3.04438732
62227,"Grand Fleigny",Rouilly,48.57669526,3.28869007
62532,Ecoublay,Augers-en-Brie,48.6575291,3.3417338
62589,Corberon,"Les Marêts",48.67552658,3.32932901
425502,Combles,Chenoise-Cucharmoy,48.62331908,3.21581468
62026,Cernuise,Rampillon,48.54125745,3.10784673
425330,Bescherelles,Donnemarie-Dontilly,48.49250695,3.11027747
463444,Bannost,Bannost-Villegagnon,48.67783194,3.19242003
61743,"Avenue de Champabon",Donnemarie-Dontilly,48.47890955,3.12387442
488449,"Parrot World",Guérard,48.83919277,2.9472467
425248,"Lycée Léonard de Vinci",Tremblay-en-France,48.96604256,2.57022235
61593,Chardonnières,Arbonne-la-Forêt,48.41983377,2.56937795
68579,"Bois Baudry Centre",Doue,48.88872353,3.21609631
68689,Debussy,Courtry,48.9130857,2.60171303
68566,"Cœur de Pigeon",Esbly,48.8896731,2.81383418
68275,Closeaux,Gouvernes,48.85829522,2.68461723
60278,Moutiers,Bullion,48.61019103,1.97210496
74300,Hadancourt,Hadancourt-le-Haut-Clocher,49.18674609,1.85386975
479564,Mairie,Rosoy-en-Multien,49.09605997,2.99664551
70714,"Rond-point du Souvenir Français",Vaucresson,48.83992062,2.16458504
480342,Pressoir,Boutigny-sur-Essonne,48.42646351,2.39590661
487074,"Notre-Dame Chemin Vert",Verneuil-sur-Seine,48.98417933,1.97419139
66362,"Rue de Tessancourt",Meulan-en-Yvelines,49.00896268,1.90488687
64817,"Piscine de Migneaux",Poissy,48.92953322,2.03211718
64837,"Relais Jeunesse",Poissy,48.92879798,2.02021545
66068,"La Dauphinoise",Triel-sur-Seine,48.99707572,2.01724687
67132,Mairie,Maudétour-en-Vexin,49.09976126,1.77640689
67942,"Lycée la Bretonnière",Chailly-en-Brie,48.81377288,3.15227959
61738,"Collège du Montois",Donnemarie-Dontilly,48.47837719,3.14140892
494155,"Les Basses Fermes",Fublaines,48.94710172,2.93504107
67749,Villers,Beautheil-Saints,48.77027363,3.09728515
67789,"Rue Albert Bertin",Meilleray,48.78470997,3.41794017
61159,Burcy,Burcy,48.23832334,2.52238386
487783,"Près de Villiers",Nanteau-sur-Essonne,48.3076422,2.41995475
61353,"La mare aux Ormes",Achères-la-Forêt,48.35173075,2.56774846
66349,Maisonneraie,Guitrancourt,49.00730682,1.77982888
66226,"Collège Sully",Rosny-sur-Seine,49.00128206,1.64414526
415589,Verger,Cheptainville,48.54870264,2.27775751
480863,"Collège Pablo Neruda",Brétigny-sur-Orge,48.60050144,2.30981077
62365,"Le Plessis Hainault",Saint-Just-en-Brie,48.61827796,3.11497873
486731,"Colbert / Verdun",Sceaux,48.77896012,2.29452201
70098,Vergers,Bourg-la-Reine,48.78625644,2.32444922
63466,"Michel Ange",Voisins-le-Bretonneux,48.76070183,2.03477154
480121,Fresne,Crécy-la-Chapelle,48.86423438,2.88822699
67622,"Villiers Templon",Saint-Mars-Vieux-Maisons,48.73552127,3.30856337
68333,Férolles,Crécy-la-Chapelle,48.86774766,2.91777315
67536,"La Malgagne",Dagny,48.71101325,3.16174519
60267,Moulin,Clairefontaine-en-Yvelines,48.61003841,1.91732892
62937,"Collège de la Guyonnerie",Bures-sur-Yvette,48.70096531,2.15679113
60043,"Collège Jean Moulin","La Norville",48.58061751,2.24975487
60130,Cerfeuille,Ollainville,48.59396858,2.23444296
485539,"Lycée Notre-Dame de Sion",Evry-Courcouronnes,48.64173444,2.43403287
66818,Peupliers,Jambville,49.04687049,1.84855913
65620,"Belle Côte - Lavoir",Boissy-Mauvoisin,48.97645971,1.58874974
64819,Coignet,Neauphlette,48.92632981,1.53790073
65143,Liserettes,Mézières-sur-Seine,48.9522017,1.79550119
460537,Herbouvilliers,Choisel,48.68048057,2.02981372
61602,Mairie,Mouy-sur-Seine,48.42056168,3.24432492
59913,Mairie,Saint-Yon,48.56063486,2.18372827
59924,"La Cordelle",Saint-Yon,48.56324907,2.19110119
61091,"Petit Ceriseaux",Souppes-sur-Loing,48.18143453,2.77077434
61298,Villeron,Villemer,48.31863822,2.78447624
61135,Préaux,Lorrez-le-Bocage-Préaux,48.2231708,2.87554109
61059,"Néronville Centre",Château-Landon,48.14796856,2.7395632
61075,Mairie,Chenou,48.1652371,2.65873452
61294,"Les Genévriers","La Genevraye",48.31811309,2.7423101
61181,"Le Prieuré",Nanteau-sur-Lunain,48.25405365,2.82153533
61330,"Le Nid",Montigny-sur-Loing,48.33913317,2.73540576
61125,"La Cuillère",Bougligny,48.20662307,2.68604872
61133,"Jean Gelé",Poligny,48.22033329,2.7133541
61124,Corbeval,Bougligny,48.20677356,2.6919438
61302,Challeau,Dormelles,48.3187551,2.87952398
61071,Butteau,Chenou,48.15308894,2.66167729
61257,Boisroux,Villemaréchal,48.2832743,2.86690639
61328,"Blaise Montesquiou",Bourron-Marlotte,48.33874978,2.69917401
61092,Bésigny,Souppes-sur-Loing,48.18270028,2.70462428
61666,Ouinotte,Grisy-sur-Seine,48.44281081,3.32951971
62278,Chennetron,Beauchery-Saint-Martin,48.5871531,3.42497383
72844,Justice,Villecresnes,48.72640864,2.52181053
483265,Guynemer,Villecresnes,48.72480848,2.53569179
69624,Descartes,Limeil-Brévannes,48.73990489,2.49034203
426239,Joffre,Chartrettes,48.48694435,2.69323635
61788,"Collège Rosa Bonheur","Le Châtelet-en-Brie",48.50167139,2.78832702
61636,Aulnette,Vulaines-sur-Seine,48.43410289,2.76534602
61402,Tavers,"La Grande-Paroisse",48.37656453,2.87458399
61451,"Les Coudraies",Vernou-la-Celle-sur-Seine,48.38708347,2.8600657
59388,"Saint Denis",Boulancourt,48.25889364,2.43872228
61184,"Le Buisson",Guercheville,48.25674671,2.55596937
61152,Garentreville,Garentreville,48.2364303,2.5513455
61191,Village,Guercheville,48.25973217,2.55789807
59425,Ferme,Tousson,48.34687846,2.45573533
61292,Centre,Villiers-sous-Grez,48.31793108,2.6503124
66656,"Collège Marcel Pagnol",Saint-Ouen-l'Aumône,49.03329711,2.11668461
65518,"Aristide Briand","La Frette-sur-Seine",48.97690929,2.1780254
