PdEId;PdEVersion;ZdCId;ZdCVersion;ZdAId;ZdAVersion;ArRId;ArRVersion;ArTId;ArTVersion;ArRGeopoint;ArTGeopoint
;;60944;60944;44317;44317-60944;2899;1403372-44317;50189276;1640219-1403372;48.673645350233144, 2.281464703940104;48.673636192264304, 2.281437666312384
;;426775;1491577;426774;1491576-1491577;426773;1491575-1491576;50189400;1485593-1491575;48.561139890578914, 2.2409805199909827;48.561130722579755, 2.2409535474802706
;;60078;60078;48101;48101-60078;2873;1438069-48101;50192824;1639828-1438069;48.58745799801685, 2.2503484286657476;48.58744883233749, 2.250321440965216
;;60290;761345;44584;44584-761345;9440;1352006-44584;50205815;1740593-1352006;48.61047468552528, 2.4894586342491745;48.61051037442527, 2.4893904608793824
;;60316;1320539;57056;57056-1320539;477435;1143865-57056;50205797;1740609-1143865;48.613765830312936, 2.4850176170474225;48.61375683541229, 2.485017705520007
;;485910;1435901;44258;1006559-1435901;4023;1435892-1006559;50205749;1740652-1435892;48.613033184705984, 2.4799512367343097;48.61305999168089, 2.4799102732276137
;;60750;60750;43747;43747-60750;477374;1143385-43747;50205591;1740766-1143385;48.650727511206874, 2.445081126492072;48.65072789044926, 2.4451625758068922
;;60237;60237;42978;42978-60237;477458;1144011-42978;50205411;1740910-1144011;48.60673379073, 2.4474056321029303;48.606778576492786, 2.4473644670096766
;;60040;761344;42456;761343-761344;477409;1143656-761343;50205216;1741062-1143656;48.579615689794146, 2.4759582270475424;48.5796246849393, 2.4759581370772517
;;60227;60227;57052;57052-60227;477422;1143756-57052;50205177;1741098-1143756;48.605579915203506, 2.4849760454718504;48.60556169059094, 2.4849219695086324
;;492201;1615856;492200;1615857-1615856;492268;1615862-1615857;50202087;1661737-1615862;48.6384635552645, 2.0410032502474538;48.6384635552645, 2.0410032502474538
;;492201;1615856;492200;1615857-1615856;492199;1615858-1615857;50202054;1661759-1615858;48.63835343921452, 2.040733807976256;48.63838031267792, 2.040719742337728
;;72865;72865;55109;55109-72865;14861;1467848-55109;50190005;1480179-1467848;48.74017832238598, 2.56146065369328;48.74016922848677, 2.561433532697784
;;61727;1087693;47654;1087754-1087693;41371;1087683-1087754;50024885;412743-1087683;48.475789308873715, 2.691554797749249;48.47556555462918, 2.6920151050322967
;;63082;63082;48022;48022-63082;2519;765371-48022;50180371;1772129-765371;48.709716223676736, 2.437550573708144;48.70972515374938, 2.4375368867018268
;;61360;61360;42559;42559-61360;33667;821187-42559;50190944;1641213-821187;48.361226864473984, 2.826234572935536;48.36122684467464, 2.826221072440935
;;61378;61378;55402;55402-61378;16062;1213029-55402;50190990;1641194-1213029;48.36744613281558, 2.8159253890052858;48.36744611184172, 2.815911886918875
;;61245;822650;55445;822649-822650;34084;821949-822649;50191755;1659949-821949;48.279418787662074, 2.6742921826672195;48.279418750548494, 2.674278703210089
;;61408;61408;49950;49950-61408;15846;1012523-49950;50193973;1722888-1012523;48.37782370205139, 2.945035513481165;48.37782368952331, 2.945008503914211
;;61140;61140;55356;55356-61140;425077;819986-55356;50191935;1476813-819986;48.22685674861453, 2.65914393567312;48.22685667093083, 2.6591170036385474
;;479910;1208907;47797;47797-1208907;34738;1390636-47797;50174185;1392954-1390636;48.88228463896076, 2.0769323419914065;48.88225734642069, 2.076891916268586
;;63549;63549;42724;42724-63549;23049;23049-42724;50186361;1761844-23049;48.76621789008605, 2.0206958836261997;48.76620867376288, 2.0206688439445664
;;63549;63549;42724;42724-63549;23048;1303277-42724;50186362;1761843-1303277;48.766039698255106, 2.0209033206422076;48.766030593497334, 2.0208898851760497
;;63474;63474;42480;42480-63474;20806;1441399-42480;50186296;1761909-1441399;48.76027497923687, 1.943940047021386;48.76026586578081, 1.9439266264678747
