zdc_a,zdb_b,duree_mediane_secondes,nb_observations
72506,72521,438,14
482909,482910,466,8
70000,70032,478,16
63508,63513,474,4
71203,73640,439,68
73329,479892,468,34
60309,60332,438,72
63317,69598,416,24
61420,412042,480,4
70770,70771,438,10
73619,73620,419,48
65406,65476,498,2
70535,486730,450,6
70940,70942,382,38
478855,485906,425,18
70295,479475,481,4
61627,61631,406,4
71528,427343,360,14
66101,66156,406,8
64961,64967,495,2
72379,413312,442,16
59581,426985,441,8
70316,423119,493,2
61216,61217,444,12
491395,491433,484,4
71445,71474,448,16
63005,63035,428,14
64020,491424,275,12
413153,425247,234,4
69968,69995,448,12
71419,479996,368,32
73490,426665,359,2
71208,412659,415,28
64119,64145,471,14
71781,420238,448,26
73274,73279,499,6
68606,68618,317,8
72759,72768,342,24
71822,71827,341,8
478480,478744,431,4
72962,72964,442,4
60946,426056,405,8
64580,64599,361,16
73766,421434,360,16
70379,70397,436,14
71427,71485,448,2
72700,72710,468,2
63595,63611,454,8
490783,491693,466,8
71034,483451,444,8
72329,425247,438,6
70743,70751,485,4
70069,70149,369,14
72063,72077,479,4
70033,420186,378,46
70574,70599,469,4
64578,64595,453,6
67603,67615,499,2
62082,62087,490,4
72490,426383,295,6
71875,71892,455,4
61004,61024,318,12
65118,65153,469,16
70346,70379,455,34
74092,481027,330,8
70721,415679,364,68
69300,480195,433,6
59549,59552,453,8
69674,69692,446,8
69849,74091,424,14
73230,73232,435,10
71166,71181,432,6
73252,73257,471,2
72936,425787,447,8
71423,73664,347,32
60236,477077,400,12
71465,71480,383,28
71410,473202,398,38
73178,73179,391,10
66677,411743,436,8
70929,70933,376,8
73585,423702,465,6
72194,72205,379,4
71212,473100,436,10
65724,65762,434,6
72402,72404,453,8
68197,68213,445,18
68508,68510,440,8
65763,415631,316,2
64698,64699,501,2
60725,60742,486,4
60949,74063,418,8
71897,71898,392,74
63559,63591,422,16
64471,64475,416,12
62043,62058,480,4
66123,492156,499,2
420345,420351,498,2
61968,61975,381,14
69885,69924,383,6
72128,72144,400,16
71637,463536,393,8
72324,73803,486,2
72017,72037,446,8
67844,67853,427,4
70609,70640,471,39
71006,482821,427,16
68336,424727,428,8
71689,71711,464,6
70354,485504,460,12
64663,64667,402,4
65080,65115,399,8
71042,71073,461,52
64981,65031,476,4
71519,71531,485,14
72216,72230,460,2
73789,425132,449,8
71394,71435,448,10
70375,412673,420,14
415816,463855,372,4
68804,68806,482,4
59770,59787,477,4
71795,412724,451,4
65994,479909,436,20
71524,480349,414,4
73688,478926,400,4
73448,73451,463,8
60715,60730,430,8
62351,490954,393,4
71760,71779,475,8
70969,72148,385,14
65418,65437,371,8
73022,485806,467,6
71654,74001,473,4
64555,64588,446,8
