ARRONDISSEMENT;TYPE;STATUT;ADRESSE;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d;gestionnaire;source;complement_adresse
75018;WC;En service;;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/jardin-francoise-helene-jourda-ex-20-rue-du-departement-18075;"{""coordinates"": [2.366157104749158, 48.888348035569166], ""type"": ""Point""}";48.888348035569166, 2.366157104749158;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75019;WC;En service;7 rue botzaris;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/parc-des-buttes-chaumont-1757;"{""coordinates"": [2.3827790219788856, 48.882377968834255], ""type"": ""Point""}";48.882377968834255, 2.3827790219788856;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75019;Sanisette;En service;68 qu de la loire;24/24h;Oui;Non;;"{""coordinates"": [2.3771520001702493, 48.88659200023629], ""type"": ""Point""}";48.88659200023629, 2.3771520001702493;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75020;Sanisette;En service;6 rue sorbier;24/24h;Oui;Non;;"{""coordinates"": [2.389873999903682, 48.86840100026175], ""type"": ""Point""}";48.86840100026175, 2.389873999903682;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75002;Sanisette;En service;109 bd de sebastopol;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.352738999879689, 48.86683600014275], ""type"": ""Point""}";48.86683600014275, 2.352738999879689;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75008;Sanisette;En service;38 rue vignon;24/24h;Oui;Non;;"{""coordinates"": [2.3265210001099694, 48.87254300024813], ""type"": ""Point""}";48.87254300024813, 2.3265210001099694;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75009;WC;En service;1 place d' estienne d orves;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-d-estienne-d-orves-2472;"{""coordinates"": [2.331288517935493, 48.876842785637415], ""type"": ""Point""}";48.876842785637415, 2.331288517935493;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75012;Sanisette;En service;26 bd de reuilly;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3922959994127493, 48.839177999838114], ""type"": ""Point""}";48.839177999838114, 2.3922959994127493;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75017;WC;En service;147 rue cardinet;Horaires du parc;Non;Non;;"{""coordinates"": [2.3143788261043468, 48.89166543963781], ""type"": ""Point""}";48.89166543963781, 2.3143788261043468;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;WC;En service;;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/jardin-francoise-helene-jourda-ex-20-rue-du-departement-18075;"{""coordinates"": [2.3650124921346753, 48.886644543971286], ""type"": ""Point""}";48.886644543971286, 2.3650124921346753;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
