route_label,zdc_a,zdc_b,nom_a,nom_b,duree_mediane_secondes,nb_observations
28,71346,73690,Miromesnil,Saint-Augustin,120,606
28,71370,73617,Gare Saint-Lazare,Europe,60,600
28,477228,482347,Berthier - Rostropovitch,Rostropovitch - Pont Teresa,60,606
28,412694,71159,Breteuil,Duroc,120,606
28,415681,71289,Pont des Invalides - Place de Finlande,Palais de la Découverte,120,606
28,415749,71242,La Tour-Maubourg - Saint-Dominique,La Tour-Maubourg,60,606
28,71207,71224,Duquesne - Lowendal,École Militaire,60,606
28,71334,71346,Saint-Philippe-du-Roule,Miromesnil,60,303
28,482347,71475,Rostropovitch - Pont Teresa,Pont Cardinet,120,606
28,463900,71242,Rue Cler,La Tour-Maubourg,60,283
28,482697,71475,Legendre (rue de Rome),Pont Cardinet,60,606
28,415681,415749,Pont des Invalides - Place de Finlande,La Tour-Maubourg - Saint-Dominique,60,570
28,71194,71207,Breteuil / El Salvador,Duquesne - Lowendal,60,584
28,71159,73641,Duroc,Falguière,60,606
28,463900,71224,Rue Cler,École Militaire,120,303
29,463564,71231,Bastille,Place des Vosges,120,321
29,463564,73622,Bastille,Chemin Vert,60,305
29,71666,73626,Lyon / Daumesnil - Ledru Rollin,Gare de Lyon,180,321
29,463564,71666,Bastille,Lyon / Daumesnil - Ledru Rollin,120,637
29,71666,73847,Lyon / Daumesnil - Ledru Rollin,Daumesnil - Diderot,120,316
29,71638,71639,Fabre d'Eglantine,Picpus,60,637
29,71313,71337,Quatre Septembre,Opéra,120,278
29,479068,71287,Etienne Marcel,Louvre - Etienne Marcel - Montmartre,180,552
29,71267,71282,Archives - Haudriettes,Grenier Saint-Lazare - Quartier de l'Horloge,180,274
29,71614,71617,Daumesnil,Dubrunfaut,60,363
29,71632,71635,Alexandra David-Néel,Avenue de Saint-Mandé / Docteur Netter,120,636
29,482792,71337,Petits Champs - Danielle Casanova,Opéra,60,274
29,71610,71626,Picpus - Reuilly,Hôpital Rothschild,60,637
29,71621,71628,Mairie du 12ème,Charles Bossut,60,618
29,71244,71246,Turenne - Saint-Gilles,Rue Vieille du Temple,60,272
29,482792,71303,Petits Champs - Danielle Casanova,Bibliothèque Nationale,120,274
29,71633,73847,Rambouillet,Daumesnil - Diderot,120,501
29,71234,71246,Payenne,Rue Vieille du Temple,60,278
29,71626,71638,Hôpital Rothschild,Fabre d'Eglantine,60,324
29,71244,73622,Turenne - Saint-Gilles,Chemin Vert,60,11
29,482368,71370,Havre - Caumartin,Gare Saint-Lazare,180,552
29,71291,73635,Mairie du 2ème / Victoires,Bourse,60,262
29,479068,71282,Etienne Marcel,Grenier Saint-Lazare - Quartier de l'Horloge,120,552
29,71231,73622,Place des Vosges,Chemin Vert,180,42
29,71291,71303,Mairie du 2ème / Victoires,Bibliothèque Nationale,60,274
29,71635,71639,Avenue de Saint-Mandé / Docteur Netter,Picpus,120,637
29,73626,73847,Gare de Lyon,Daumesnil - Diderot,240,321
29,71273,71282,Rambuteau,Grenier Saint-Lazare - Quartier de l'Horloge,240,278
29,71628,71633,Charles Bossut,Rambouillet,60,456
29,71287,71291,Louvre - Etienne Marcel - Montmartre,Mairie du 2ème / Victoires,180,552
29,71259,71273,Archives - Rambuteau,Rambuteau,60,252
29,71313,73635,Quatre Septembre,Bourse,60,278
29,71625,71632,Jules Lemaître - Maurice Ravel,Alexandra David-Néel,60,320
29,478926,71337,Auber,Opéra,60,540
29,71617,71621,Dubrunfaut,Mairie du 12ème,60,457
29,71246,71267,Rue Vieille du Temple,Archives - Haudriettes,,0
29,71610,71614,Picpus - Reuilly,Daumesnil,120,618
29,71246,71259,Rue Vieille du Temple,Archives - Rambuteau,60,176
29,478926,482368,Auber,Havre - Caumartin,120,552
29,71612,71625,Montempoivre,Jules Lemaître - Maurice Ravel,60,312
29,71231,71234,Place des Vosges,Payenne,60,252
30,473829,73797,Bir-Hakeim,Tour Eiffel,180,991
30,463577,473829,Bibliothèque A. Chedid,Bir-Hakeim,180,991
30,71347,71367,Charles de Gaulle - Étoile,Ternes,120,851
30,71312,71347,Kléber - Paul Valéry,Charles de Gaulle - Étoile,120,851
30,71285,71301,Trocadéro,Boissière,120,851
30,71376,73671,Courcelles,Monceau,120,851
30,478845,71150,Pont de Grenelle - Place Fernand Forest,Javel,240,991
30,71409,71420,Pigalle,Blanche,120,851
30,71119,71150,Cauchy,Javel,120,991
30,71367,71376,Ternes,Courcelles,60,851
30,71403,71408,Villiers,Rome,120,851
30,71073,71099,Balard,Parc André Citroën / Saint-Charles - Balard,120,991
30,71415,71435,Boulevard des Batignolles / Turin - Batignolles,Place de Clichy,120,851
30,71099,71119,Parc André Citroën / Saint-Charles - Balard,Cauchy,60,991
30,474405,71073,Rue Leblanc / Leblanc - Delbarre,Balard,60,991
30,71420,71435,Blanche,Place de Clichy,120,851
30,71265,71283,Pont d'Iena / Varsovie,Albert de Mun,120,991
30,71283,71285,Albert de Mun,Trocadéro,120,991
30,71301,71312,Boissière,Kléber - Paul Valéry,120,841
30,71408,71415,Rome,Boulevard des Batignolles / Turin - Batignolles,120,836
30,424721,73671,Malesherbes - Courcelles,Monceau,120,851
30,424721,71403,Malesherbes - Courcelles,Villiers,120,849
30,71265,73797,Pont d'Iena / Varsovie,Tour Eiffel,60,985
30,474405,480561,Rue Leblanc / Leblanc - Delbarre,Hôpital Européen Georges Pompidou,60,991
30,463577,71177,Bibliothèque A. Chedid,Linois - Emeriau,60,991
30,478845,71177,Pont de Grenelle - Place Fernand Forest,Linois - Emeriau,60,929
31,71347,71367,Charles de Gaulle - Étoile,Ternes,180,740
31,71347,71354,Charles de Gaulle - Étoile,Hoche - Saint-Honoré,120,715
31,71449,71475,Jouffroy d'Abbans - Tocqueville,Pont Cardinet,120,1472
31,71469,71511,Château Rouge,Marcadet - Poissonniers / Eugène Sue,120,1473
31,71511,71521,Marcadet - Poissonniers / Eugène Sue,Jules Joffrin,180,1465
31,71367,71405,Ternes,Wagram - Courcelles,60,1463
31,71426,71469,Barbès - Rochechouart,Château Rouge,120,1473
31,71528,71535,Guy Môquet,Vauvenargues,120,1475
31,480615,71359,Lafayette - Magenta / Place Franz Liszt,Gare de l'Est,180,1473
31,71388,71426,Magenta - Maubeuge - Gare du Nord,Barbès - Rochechouart,120,1467
31,482350,73661,Parc Martin Luther King,Brochant,60,728
31,71405,71423,Wagram - Courcelles,Wagram,120,1428
31,71515,73661,Moines - Davy,Brochant,120,1475
31,480615,71388,Lafayette - Magenta / Place Franz Liszt,Magenta - Maubeuge - Gare du Nord,120,1450
31,71521,71525,Jules Joffrin,Duhesme - Le Ruisseau,120,1475
31,71532,71535,Damrémont - Ordener,Vauvenargues,120,1475
31,71354,71367,Hoche - Saint-Honoré,Ternes,120,731
31,71515,71528,Moines - Davy,Guy Môquet,120,1475
31,71423,71452,Wagram,Jouffroy d'Abbans - Malesherbes,120,1475
31,71525,71532,Duhesme - Le Ruisseau,Damrémont - Ordener,60,1475
31,71449,71452,Jouffroy d'Abbans - Tocqueville,Jouffroy d'Abbans - Malesherbes,60,1475
31,482350,71475,Parc Martin Luther King,Pont Cardinet,120,731
32,71318,71346,Franklin D. Roosevelt,Miromesnil,120,196
32,71333,71359,Château d'Eau,Gare de l'Est,180,196
32,71211,71235,Raffet,Porte de Passy,120,387
32,474150,71250,La Muette,Louis Boilly,180,196
32,71294,71302,Iéna,Marceau - Pierre 1er de Serbie - Place de Beyrouth,120,387
32,71330,73689,Richelieu - Drouot,Chaussée d'Antin - La Fayette,60,191
32,412695,71334,La Boétie - Champs-Élysées,Saint-Philippe-du-Roule,180,191
32,71370,73690,Gare Saint-Lazare,Saint-Augustin,60,387
32,71330,71350,Richelieu - Drouot,Notre-Dame-de-Lorette,120,191
32,71333,73633,Château d'Eau,Strasbourg - Saint-Denis,60,173
32,71350,71351,Notre-Dame-de-Lorette,Cadet,120,191
32,71320,73633,Bonne Nouvelle,Strasbourg - Saint-Denis,120,196
32,71340,71359,Faubourg Saint-Denis,Gare de l'Est,60,191
32,71346,73690,Miromesnil,Saint-Augustin,120,387
32,71340,71345,Faubourg Saint-Denis,Hauteville,120,191
32,71189,71211,Alfred Capus,Raffet,60,387
32,71237,71240,Passy,Jean Bologne,60,196
32,482828,71235,Avenue Ingres,Porte de Passy,120,191
32,71326,71330,Grands Boulevards,Richelieu - Drouot,120,196
32,412695,71307,La Boétie - Champs-Élysées,Pierre Charron - François 1er,120,387
32,71263,71285,Scheffer,Trocadéro,120,387
32,412695,71318,La Boétie - Champs-Élysées,Franklin D. Roosevelt,120,196
32,71237,71263,Passy,Scheffer,60,196
32,71320,71326,Bonne Nouvelle,Grands Boulevards,120,196
32,474150,482828,La Muette,Avenue Ingres,60,191
32,474150,71255,La Muette,Place Possoz,120,191
32,71169,71189,Porte d'Auteuil,Alfred Capus,60,360
32,71351,71352,Cadet,Paradis / Square Montholon,60,191
32,482368,71370,Havre - Caumartin,Gare Saint-Lazare,120,255
32,420241,71337,Choiseul,Opéra,120,196
32,71283,71285,Albert de Mun,Trocadéro,60,387
32,474150,71241,La Muette,Place de Passy,60,118
32,71260,71263,La Tour,Scheffer,60,186
32,71334,71346,Saint-Philippe-du-Roule,Miromesnil,60,191
32,71235,71250,Porte de Passy,Louis Boilly,120,196
32,478926,73689,Auber,Chaussée d'Antin - La Fayette,120,191
32,71255,71260,Place Possoz,La Tour,60,191
32,71302,71307,Marceau - Pierre 1er de Serbie - Place de Beyrouth,Pierre Charron - François 1er,60,348
32,71283,71294,Albert de Mun,Iéna,60,387
32,420241,71330,Choiseul,Richelieu - Drouot,120,196
32,478926,71337,Auber,Opéra,60,114
32,71345,71352,Hauteville,Paradis / Square Montholon,60,191
32,478926,482368,Auber,Havre - Caumartin,60,339
32,71240,71241,Jean Bologne,Place de Passy,60,196
35,72451,72465,Parc du Millénaire,La Haie Coq,60,969
35,72502,72507,André Karman,Villebois - Mareuil,120,1301
35,71537,72035,Tristan Tzara,Évangile - Aubervilliers,120,1297
35,71463,71510,Département - Marx Dormoy / Pajol - Département,Marx Dormoy,180,1301
35,72035,72434,Évangile - Aubervilliers,Porte d'Aubervilliers,120,1300
35,72491,72507,Aimé Césaire,Villebois - Mareuil,60,1236
35,71434,71463,La Chapelle,Département - Marx Dormoy / Pajol - Département,120,1301
35,71434,73793,La Chapelle,Cail - Demarquay,120,1301
35,72129,72465,Gardinoux / Quai Lucien Lefranc,La Haie Coq,60,1301
35,482775,71522,Place de Torcy,Place Hebert,120,1301
35,71410,73793,Gare du Nord,Cail - Demarquay,120,1301
35,479939,72451,Skanderbeg,Parc du Millénaire,60,815
35,71522,71537,Place Hebert,Tristan Tzara,60,1240
35,482775,71510,Place de Torcy,Marx Dormoy,60,1301
35,72129,72491,Gardinoux / Quai Lucien Lefranc,Aimé Césaire,60,1155
35,479939,72434,Skanderbeg,Porte d'Aubervilliers,60,1301
38,70657,71030,Porte d'Orléans,Alésia,360,1432
38,71523,72064,Les Roses,Porte de la Chapelle,120,1432
38,71264,71273,Châtelet,Rambuteau,120,757
38,71333,73633,Château d'Eau,Strasbourg - Saint-Denis,120,649
38,71056,71074,Denfert-Rochereau,Hôpital Saint-Vincent de Paul,60,1320
