Nom de l'arrêt;Coordonnées OSM;ArTGeopoint;ID ArR;id_arr;ArTId;Code de ligne (OSM);Distance (km);Distance (m);Geo Shape;wheelchair;source:wheelchair;ArTName;Zone de transport;bench;bin;lit;shelter;tactile_paving;FournisseurId;FournisseurName;ArTTown;ArTPostalRegion;ArTPublicCode
Gare de Méry-sur-Oise;49.0575255,2.1906711;49.057530183608186, 2.1905949415220047;8892;8892;50203599;"56;95-17";0.01;10;"{""type"": ""Point"", ""coordinates"": [2.1906711, 49.0575255]}";no;STIF 2019-01;Gare de Méry-sur-Oise;5;yes;;;yes;;502;CERGY-PONTOISE CONFLUENCE;Méry-sur-Oise;95394;-
Pierre Semard;48.8063274,2.2980425;48.80644893498672, 2.298071679169918;28607;28607;50142642;"195;294;388;N63";0.01;10;"{""type"": ""Point"", ""coordinates"": [2.2980425, 48.8063274]}";yes;;Pierre Sémard;3;yes;yes;no;yes;no;59;RATP;Châtillon;92020;-
Mairie;48.4331864,2.0751208;48.43314104045712, 2.0750627149406857;3384;3384;50174922;;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.0751208, 48.4331864]}";;;Mairie de Saint-Hilaire;;;;;;;900;EX DSP 24;Saint-Hilaire;91556;-
Centre-Ville (Chars);49.1604121,1.9345228;49.16040389286078, 1.9344377646100694;29610;29610;50121049;"95-08;95-35;95-46";0.01;10;"{""type"": ""Point"", ""coordinates"": [1.9345228, 49.1604121]}";yes;STIF 2018-07;Chars;5;yes;;;no;no;1;SNCF;Chars;95142;-
Chemin Neuf;48.9026469,2.0506254;48.90268359949839, 2.0506783286693295;34531;34531;50174048;R4;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.0506254, 48.9026469]}";no;STIF 2019-01;Chemin Neuf;5;yes;yes;;yes;yes;532;SAINT GERMAIN BOUCLES DE SEINE;Chambourcy;78133;-
Châtaigneraie;48.9033153,2.0454264;48.903235452960686, 2.0454297153085723;34534;34534;50174042;R4;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.0454264, 48.9033153]}";no;STIF 2019-01;Châtaigneraie;5;yes;yes;;yes;;532;SAINT GERMAIN BOUCLES DE SEINE;Chambourcy;78133;-
Gare de Saint-Germain-en-Laye - Gare Routière;48.8992514,2.0937817;48.89922171877579, 2.093710462256526;34498;34498;50174306;R4;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.0937817, 48.8992514]}";no;STIF 2019-01;Gare de Saint-Germain-en-Laye - Gare Routière;4;yes;yes;yes;yes;no;532;SAINT GERMAIN BOUCLES DE SEINE;Saint-Germain-en-Laye;78551;-
Gare de Saint-Germain-en-Laye;48.8992475,2.0939375;48.89920455989221, 2.093819888223548;"34610;34605";34605;50174094;R5;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.0939375, 48.8992475]}";yes;;Gare de Saint-Germain-en-Laye - Gare Routière;4;yes;yes;yes;yes;no;532;SAINT GERMAIN BOUCLES DE SEINE;Saint-Germain-en-Laye;78551;-
Foyer Rural;49.0605497,1.5447709;49.0604721642248, 1.5447812954393274;18578;18578;50095247;;0.01;10;"{""type"": ""Point"", ""coordinates"": [1.5447709, 49.0605497]}";;;Foyer Rural;;;;;;;535;MANTOIS;Limetz-Villez;78337;-
Bois d'Auteuil;48.7168213,2.5461295;48.71687916620767, 2.546024689143935;14853;14853;50181456;;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.5461295, 48.7168213]}";;;Bois d'Auteuil;;;;;yes;;520;VAL D’YERRES VAL DE SEINE;Villecresnes;94075;-
Abbé Georges Hénocque;48.824295,2.3535097;48.82420953461363, 2.3534874989340735;9116;9116;50114992;57;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.3535097, 48.824295]}";no;STIF 2019-01;Abbé Georges Hénocque;1;yes;yes;yes;yes;no;59;RATP;Paris 13e;75113;-
Cité de la Mode et du Design;48.8402126,2.3685982;48.84015539555841, 2.3686450803032733;37565;37565;50236992;215;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.3685982, 48.8402126]}";no;STIF 2019-01;Cité de la Mode et du Design;1;no;no;yes;no;no;547;SEINE ORLY;Paris 13e;75113;-
8 Mai 1945;48.809753,2.433203;48.80973787328071, 2.4331221509030065;25904;25904;50234972;"N32;N35;104";0.01;10;"{""type"": ""Point"", ""coordinates"": [2.433203, 48.809753]}";yes;STIF 2019-01;8 mai 1945;3;yes;yes;yes;yes;no;546;POMPADOUR;Maisons-Alfort;94046;-
Croix Rouge;48.7067319,2.5435441;48.706661258091984, 2.5436264841609213;14895;14895;50190600;M;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.5435441, 48.7067319]}";no;STIF 2019-01;Croix Rouge;5;;;;no;;521;MARNE ET SEINE;Mandres-les-Roses;94047;-
