route_label,station_id,zdc_id,db_label,gtfs_label
D,524,69568,Villeneuve-Saint-Georges,Villeneuve-Saint-Georges
D,499,59953,Le Coudray-Montceaux,Le Coudray-Montceaux
D,488,60309,Corbeil-Essonnes,Corbeil-Essonnes
D,478,59825,Ballancourt,Ballancourt
D,496,411419,La Borne Blanche (Gare),La Borne Blanche (Gare)
D,493,66535,Goussainville,Goussainville
D,518,62290,Savigny-le-Temple - Nandy,Savigny-le-Temple - Nandy
D,509,59984,Mennecy,Mennecy
D,504,62412,Lieusaint - Moissy,Lieusaint - Moissy
D,318,62172,Saint-Fargeau,Saint-Fargeau
D,510,63072,Montgeron - Crosne,Montgeron - Crosne
D,503,66650,Les Noues,Les Noues
D,529,60450,Évry - Courcouronnes,Évry - Courcouronnes
D,76,71410,Gare du Nord,Gare du Nord
D,523,69671,Villeneuve Triage,Villeneuve Triage
E,534,67658,Gretz-Armainvilliers,Gretz-Armainvilliers
E,550,68419,Vaires - Torcy,Vaires - Torcy
E,255,426280,Rosny-Bois-Perrier,Rosny Bois Perrier
E,532,68407,Chelles - Gournay,Chelles - Gournay
E,544,462934,Ozoir-la-Ferrière,Ozoir-la-Ferrière
E,531,72037,Bondy,Bondy
E,540,478733,Magenta,Magenta
E,533,73278,Gagny,Gagny
E,548,71935,Rosny-sous-Bois,Rosny-sous-Bois
E,546,67839,Roissy-en-Brie,Roissy-en-Brie
E,539,73096,Les Yvris Noisy-le-Grand,Les Yvris Noisy-le-Grand
E,543,72041,Noisy-le-Sec,Noisy-le-Sec
E,538,73098,Les Boullereaux Champigny,Les Boullereaux Champigny
E,545,72421,Pantin,Pantin
E,541,488087,Nanterre-La-Folie,Nanterre-La-Folie
E,1,71517,La Défense,La Défense
E,552,67897,Émerainville - Pontault-Combault,Émerainville - Pontault-Combault
E,549,67625,Tournan,Tournan
E,447,71379,Neuilly - Porte Maillot,Neuilly - Porte Maillot
E,542,71609,Nogent - Le Perreux,Nogent - Le Perreux
E,536,73266,Le Chénay Gagny,Le Chénay Gagny
E,365,71718,Val de Fontenay,Val de Fontenay
E,551,73097,Villiers-sur-Marne - Le Plessis-Trévise,Villiers-sur-Marne - Le Plessis-Trévise
E,535,73688,Haussmann Saint-Lazare,Haussmann Saint-Lazare
E,547,73798,Rosa Parks,Rosa Parks
E,537,73297,Le Raincy - Villemomble - Montfermeil,Le Raincy - Villemomble - Montfermeil
