zdc,niveau,commentaire
72206,"train accessible sur réservation préalable auprès du service AssistenGare",
61480,"gare ou arrêt non accessible",
68984,"gare ou arrêt non accessible",
67107,"gare ou arrêt non accessible",
70584,"gare ou arrêt non accessible",
70705,"train accessible sur réservation préalable auprès du service AssistenGare",
64021,"train accessible sur réservation préalable auprès du service AssistenGare",
73482,"train accessible sur réservation préalable auprès du service AssistenGare",
69568,"gare ou arrêt non accessible",
411477,"gare ou arrêt non accessible",
64949,"train accessible sur réservation préalable auprès du service AssistenGare",
73547,"train accessible sur réservation préalable auprès du service AssistenGare",
64145,"train accessible sur réservation préalable auprès du service AssistenGare",
66009,"gare ou arrêt non accessible",
73097,"train accessible sur réservation préalable auprès du service AssistenGare",
60981,"gare ou arrêt non accessible",
